gene_id,source,candidate_target
A1CF,go,False
A2M,go,False
AASS,go,False
AATK,go,False
ABAT,go,False
ABCA1,go,False
ABCA5,go,False
ABCB1,go,False
ABCC11,go,False
ABCC2,go,False
ABCC3,go,False
ABCC6,go,False
ABLIM1,go,False
ABRACL,go,False
AC004816.1,go,False
AC005261.1,go,False
AC005670.3,go,False
AC006115.2,go,False
AC006141.1,go,False
AC006329.1,go,False
AC006449.6,go,False
AC007114.2,go,False
AC007493.1,go,False
AC008124.1,go,False
AC008267.5,go,False
AC008443.1,go,False
AC008760.2,go,False
AC009107.2,go,False
AC009404.1,go,False
AC010198.2,go,False
AC010642.2,go,False
AC012065.3,go,False
AC012360.3,go,False
AC015813.1,go,False
AC015871.7,go,False
AC020656.2,go,False
AC021218.1,go,False
AC022816.1,go,False
AC025159.1,go,False
AC025181.2,go,False
AC027644.3,go,False
AC040169.1,go,False
AC058791.1,go,False
AC060780.1,go,False
AC068491.3,go,False
AC073365.1,go,False
AC083862.3,go,False
AC087482.1,go,False
AC090204.1,go,False
AC091271.1,go,False
AC092279.1,go,False
AC093001.2,go,False
AC093323.1,go,False
AC093673.1,go,False
AC093866.1,go,False
AC097376.3,go,False
AC097448.1,go,False
AC104958.2,go,False
AC106875.1,go,False
AC107419.1,go,False
AC108488.1,go,False
AC115619.1,go,False
AC118549.1,go,False
AC131097.2,go,False
AC139530.1,go,False
AC139887.2,go,False
AC240274.1,go,False
AC243964.3,go,False
AC244090.1,go,False
AC245297.3,go,False
ACAD11,go,False
ACOT2,go,False
ACOX2,go,False
ACSF2,go,False
ACSL5,go,False
ACSS1,go,False
ACSS3,go,False
ACTA1,go,False
ACTA2,go,False
ACVR1,go,False
ACVR2A,go,False
ADAMTS9,go,False
ADAP1,go,False
ADGRG1,go,False
ADGRG6,go,False
ADGRL2,go,False
ADH6,go,False
ADM,go,False
ADM2,go,False
ADSSL1,go,False
AF117829.1,go,False
AFDN,go,False
AFP,go,False
AGMAT,go,False
AGR2,go,False
AGT,go,False
AGXT,go,False
AHSG,go,False
AJUBA,go,False
AK6,go,False
AKAP12,go,False
AKR1B10,go,False
AKR1C3,go,False
AL022068.1,go,False
AL022311.1,go,False
AL031058.1,go,False
AL033397.1,go,False
AL033504.1,go,False
AL034417.2,go,False
AL078587.2,go,False
AL109811.2,go,False
AL117329.1,go,False
AL118516.1,go,False
AL121944.1,go,False
AL133243.3,go,False
AL133453.1,go,False
AL135925.1,go,False
AL139383.1,go,False
AL158152.1,go,False
AL353138.1,go,False
AL365181.3,go,False
AL445524.1,go,False
AL450998.2,go,False
AL451069.1,go,False
AL589669.1,go,False
AL669970.3,go,False
ALB,go,False
ALDH3A2,go,False
ALDH3B1,go,False
ALDH6A1,go,False
ALG1L,go,False
ALOX12-AS1,go,False
ALPK2,go,False
ALPL,go,False
AMACR,go,False
AMBP,go,False
AMMECR1L,go,False
AMN,go,False
AMOTL2,go,False
AMT,go,False
ANG,go,False
ANGPTL1,go,False
ANGPTL8,go,False
ANKH,go,False
ANKRD1,go,False
ANKRD36C,go,False
ANKRD37,go,False
ANKRD50,go,False
ANKRD65,go,False
ANPEP,go,False
ANTXR1,go,False
ANXA9,go,False
AOX1,go,False
AP001816.1,go,False
AP002387.2,go,False
AP005329.3,go,False
AP1M2,go,False
AP1S3,go,False
APBB2,go,False
APC,go,False
APOA1,go,False
APOA2,go,False
APOA4,go,False
APOA5,go,False
APOB,go,False
APOC2,go,False
APOC3,go,False
APOH,go,False
APOL1,go,False
APP,go,False
AQP11,go,False
ARFGEF3,go,False
ARHGAP26,go,False
ARHGAP29,go,False
ARHGEF10L,go,False
ARHGEF28,go,False
ARHGEF3,go,False
ARMT1,go,False
ARRB2,go,True
ARSD,go,False
ARSE,go,False
ARSI,go,False
ART4,go,False
ASAP2,go,False
ASB4,go,False
ASB9,go,False
ASGR1,go,False
ASPHD1,go,False
ASS1,go,False
ASTN2,go,False
ATAD3C,go,False
ATG14,go,False
ATP1A1,go,True
ATP1B1,go,False
ATRN,go,False
AXIN2,go,False
AZGP1,go,False
B3GNT3,go,False
B4GAT1,go,False
BACE1,go,False
BCAM,go,False
BCAS1,go,False
BCAS4,go,False
BCL3,go,False
BCL9L,go,False
BCLAF3,go,False
BEND7,go,False
BEX3,go,False
BHMT2,go,False
BICDL1,go,False
BIK,go,False
BMP4,go,False
BOK,go,False
BORCS7,go,False
BPIFB2,go,False
BTBD16,go,False
BX255925.3,go,False
BX890604.2,go,False
C10orf82,go,False
C11orf52,go,False
C12orf75,go,False
C12orf76,go,False
C14orf178,go,False
C16orf86,go,False
C18orf21,go,False
C19orf33,go,False
C19orf48,go,False
C19orf53,go,False
C1QTNF1-AS1,go,False
C1orf115,go,False
C1orf122,go,False
C1orf210,go,False
C2,go,False
C20orf194,go,False
C20orf204,go,False
C2orf72,go,False
C2orf74,go,False
C3,go,False
C4BPA,go,False
C4BPB,go,False
C5,go,False
C6orf132,go,False
C6orf226,go,False
C6orf62,go,False
C7orf26,go,False
C8G,go,False
C9orf85,go,False
CA9,go,False
CACNA2D4,go,False
CACNB4,go,False
CADM1,go,False
CADPS2,go,False
CALD1,go,False
CAMK2D,go,False
CAMK2N1,go,False
CAMSAP2,go,False
CAP2,go,False
CAPRIN2,go,False
CAPS,go,False
CARD10,go,False
CARD19,go,False
CASC19,go,False
CASD1,go,False
CASK,go,False
CASP4,go,False
CAVIN2,go,False
CBLB,go,False
CBWD2,go,False
CBWD3,go,False
CBWD5,go,False
CCDC144A,go,True
CCDC144NL,go,False
CCDC144NL-AS1,go,False
CCDC146,go,False
CCDC183,go,False
CCDC186,go,False
CCDC34,go,False
CCDC68,go,False
CCL15,go,False
CCL16,go,False
CCL20,go,False
CCN1,go,False
CCN2,go,False
CCNG2,go,False
CCNJL,go,False
CCR6,go,False
CD109,go,False
CD163L1,go,False
