gene_id,source,incoming_nonself,outgoing_nonself,self_loop_only,candidate_target
RP11-34P13.8,go,0,0,True,False
RP11-54O7.3,go,0,0,True,False
SAMD11,go,0,0,True,False
PERM1,go,0,0,True,False
HES4,go,8,12,False,False
ISG15,go,9,1,False,False
RP11-54O7.18,go,0,0,True,False
RNF223,go,0,0,True,False
LINC01342,go,0,0,True,False
TTLL10-AS1,go,0,0,True,False
TNFRSF18,go,0,0,True,False
TNFRSF4,go,0,0,True,False
TAS1R3,go,0,0,True,False
ANKRD65,go,0,0,True,False
MMP23B,go,0,0,True,False
RP11-345P4.7,go,0,0,True,False
CALML6,go,0,0,True,False
RP5-892K4.1,go,0,0,True,False
RP11-181G12.4,go,0,0,True,False
PLCH2,go,0,0,True,False
RP3-395M20.12,go,0,0,True,False
RP3-395M20.8,go,0,0,True,False
TNFRSF14,go,0,0,True,False
TTC34,go,0,0,True,False
TP73,go,10,4,False,True
SMIM1,go,5,45,False,False
RP1-286D6.5,go,0,0,True,False
CHD5,go,0,0,True,False
LINC00337,go,0,0,True,False
GPR153,go,0,0,True,False
HES2,go,8,14,False,False
ESPN,go,4,0,False,False
TAS1R1,go,0,0,True,False
RP11-338N10.1,go,0,0,True,False
TNFRSF9,go,0,0,True,False
RP5-1115A15.1,go,0,0,True,False
RP4-633I8.4,go,0,0,True,False
ENO1,go,8,9,False,False
CA6,go,0,0,True,False
GPR157,go,0,0,True,False
MIR34AHG,go,0,0,True,False
RP3-510D11.2,go,0,0,True,False
H6PD,go,0,0,True,False
PIK3CD-AS1,go,0,0,True,False
AL357140.1,go,0,0,True,False
PGD,go,1,1,False,False
C1orf127,go,0,0,True,False
RP4-635E18.9,go,0,0,True,False
MASP2,go,0,0,True,False
RP4-635E18.8,go,0,0,True,False
SRM,go,6,9,False,False
DRAXIN,go,0,0,True,False
MTHFR,go,0,0,True,False
PDPN,go,0,0,True,False
TMEM51-AS1,go,0,0,True,False
RP3-467K16.2,go,0,0,True,False
