gene_id,source,incoming_nonself,outgoing_nonself,self_loop_only,candidate_target
LINC01409,go,0,0,True,False
HES4,go,5,7,False,False
ISG15,go,20,0,False,False
SDF4,go,20,19,False,False
ACAP3,go,20,8,False,False
MXRA8,go,20,13,False,False
CCNL2,go,20,7,False,False
MRPL20-AS1,go,0,0,True,False
MRPL20,go,20,31,False,False
ATAD3A,go,20,25,False,False
SSU72,go,20,8,False,True
MIB2,go,20,51,False,False
SLC35E2B,go,19,9,False,False
CDK11A,go,20,27,False,False
SKI,go,20,1,False,False
SMIM1,go,20,87,False,False
C1orf174,go,20,68,False,False
ZBTB48,go,9,1,False,False
KLHL21,go,20,14,False,False
PHF13,go,20,9,False,False
THAP3,go,17,22,False,False
CAMTA1,go,20,3,False,False
VAMP3,go,20,17,False,False
PER3,go,20,4,False,False
RERE,go,20,3,False,False
PIK3CD,go,5,5,False,False
PIK3CD-AS2,go,0,0,True,False
CLSTN1,go,20,7,False,False
CTNNBIP1,go,20,1,False,False
UBE4B,go,20,3,False,False
KIF1B,go,20,14,False,False
PGD,go,4,1,False,True
SRM,go,20,15,False,False
MAD2L2,go,20,0,False,False
AGTRAP,go,20,41,False,False
MTHFR,go,1,0,False,False
CLCN6,go,20,4,False,False
MFN2,go,20,2,False,False
DHRS3,go,5,2,False,False
PRDM2,go,17,7,False,False
EFHD2,go,17,4,False,False
DDI2,go,20,0,False,False
PLEKHM2,go,20,0,False,False
AL450998.2,go,0,0,True,False
SPEN,go,20,7,False,False
ZBTB17,go,18,4,False,True
NECAP2,go,20,4,False,False
SDHB,go,19,10,False,False
UBR4,go,20,34,False,False
AKR7A2,go,20,10,False,False
MICOS10,go,19,6,False,True
OTUD3,go,0,0,True,False
CAMK2N1,go,0,0,True,False
MUL1,go,20,1,False,False
HP1BP3,go,17,1,False,False
EIF4G3,go,20,14,False,False
HSPG2,go,20,15,False,False
CDC42,go,3,0,False,False
ZBTB40,go,14,2,False,False
KDM1A,go,20,1,False,False
LUZP1,go,20,1,False,False
LINC01355,go,0,0,True,False
E2F2,go,16,23,False,False
PITHD1,go,20,0,False,False
LYPLA2,go,20,3,False,False
HMGCL,go,18,10,False,False
FUCA1,go,20,30,False,False
NIPAL3,go,20,28,False,False
SRRM1,go,20,83,False,True
CLIC4,go,20,3,False,False
SYF2,go,20,19,False,True
RSRP1,go,0,0,True,False
TMEM50A,go,20,7,False,False
MACO1,go,20,5,False,False
LDLRAP1,go,6,3,False,False
MTFR1L,go,18,25,False,False
STMN1,go,20,1,False,False
PDIK1L,go,20,84,False,False
SH3BGRL3,go,20,46,False,False
HMGN2,go,20,20,False,False
RPS6KA1,go,20,12,False,False
ARID1A,go,20,10,False,False
GPATCH3,go,20,114,False,False
SLC9A1,go,0,0,True,False
WDTC1,go,20,5,False,True
TMEM222,go,20,74,False,False
WASF2,go,20,14,False,False
AHDC1,go,20,23,False,False
FAM76A,go,20,8,False,False
STX12,go,20,13,False,False
EYA3,go,20,6,False,False
ATP5IF1,go,13,0,False,False
SESN2,go,20,1,False,False
SNHG3,go,0,0,True,False
SNHG12,go,0,0,True,False
TAF12,go,20,27,False,True
GMEB1,go,9,117,False,False
YTHDF2,go,20,4,False,False
LAPTM5,go,4,0,False,False
PUM1,go,20,9,False,False
TXLNA,go,20,48,False,False
CCDC28B,go,20,74,False,False
IQCC,go,20,0,False,False
TMEM234,go,20,72,False,False
MARCKSL1,go,20,45,False,False
BSDC1,go,20,142,False,False
ZBTB8A,go,13,2,False,False
SYNC,go,20,4,False,False
KIAA1522,go,14,2,False,False
YARS,go,20,13,False,False
TMEM54,go,20,61,False,False
RNF19B,go,20,19,False,False
AK2,go,18,6,False,False
PHC2,go,20,52,False,False
TMEM35B,go,0,0,True,False
ZMYM6,go,18,7,False,False
ZMYM1,go,16,5,False,False
SFPQ,go,20,11,False,True
ZMYM4,go,20,5,False,False
KIAA0319L,go,20,114,False,False
CLSPN,go,20,7,False,True
AGO4,go,0,0,True,False
AGO1,go,20,8,False,False
AGO3,go,20,6,False,False
TRAPPC3,go,20,18,False,False
THRAP3,go,20,11,False,False
SH3D21,go,0,0,True,False
EVA1B,go,20,133,False,False
STK40,go,20,12,False,False
LSM10,go,20,3,False,True
MRPS15,go,20,33,False,False
SNIP1,go,20,32,False,True
GNL2,go,20,20,False,True
C1orf109,go,20,579,False,False
CDCA8,go,20,4,False,False
YRDC,go,20,1,False,False
C1orf122,go,0,0,True,False
MTF1,go,14,4,False,False
FHL3,go,20,4,False,False
RRAGC,go,20,9,False,False
AKIRIN1,go,20,4,False,False
MACF1,go,20,6,False,False
PABPC4,go,20,17,False,False
CAP1,go,20,1,False,False
RLF,go,17,1,False,False
AL050341.2,go,0,0,True,False
SMAP2,go,20,12,False,False
