gene_id,source,candidate_target
ABRACL,go,False
AC002467.1,go,False
AC002558.3,go,False
AC004687.1,go,False
AC004812.2,go,False
AC004951.1,go,False
AC005261.1,go,False
AC005523.2,go,False
AC005670.3,go,False
AC005726.1,go,False
AC005921.2,go,False
AC006141.1,go,False
AC006333.2,go,False
AC006449.6,go,False
AC006504.5,go,False
AC007405.1,go,False
AC007405.3,go,False
AC008124.1,go,False
AC008267.5,go,False
AC008443.1,go,False
AC008555.4,go,False
AC008875.3,go,False
AC009107.2,go,False
AC009403.1,go,False
AC009404.1,go,False
AC012146.1,go,False
AC012360.3,go,False
AC012615.1,go,False
AC015574.1,go,False
AC015813.1,go,False
AC015871.1,go,False
AC016065.1,go,False
AC016074.2,go,False
AC016629.2,go,False
AC016876.1,go,False
AC018521.5,go,False
AC018647.2,go,False
AC019205.1,go,False
AC021723.2,go,False
AC022075.1,go,False
AC023157.3,go,False
AC024060.2,go,False
AC024560.4,go,False
AC025159.1,go,False
AC025160.1,go,False
AC025171.1,go,False
AC025171.2,go,False
AC025181.2,go,False
AC027644.3,go,False
AC060780.1,go,False
AC067852.3,go,False
AC068205.2,go,False
AC068491.3,go,False
AC069277.1,go,False
AC079062.1,go,False
AC079466.1,go,False
AC079801.1,go,False
AC090015.1,go,False
AC092279.1,go,False
AC093157.1,go,False
AC093323.1,go,False
AC093827.4,go,False
AC097376.3,go,False
AC100810.1,go,False
AC104041.1,go,False
AC106791.1,go,False
AC108134.2,go,False
AC108488.1,go,False
AC112253.1,go,False
AC139493.2,go,False
AC139530.1,go,False
AC139887.2,go,False
AC240274.1,go,False
AC245060.5,go,False
AC245297.3,go,False
AC245452.1,go,False
AC246817.1,go,False
AC246817.2,go,False
ADA,go,False
ADGRE5,go,False
AF117829.1,go,False
AFF3,go,False
AGO4,go,False
AGTPBP1,go,False
AKAP10,go,False
AL021368.2,go,False
AL022311.1,go,False
AL034397.3,go,False
AL035071.1,go,False
AL035446.1,go,False
AL050341.2,go,False
AL110292.1,go,False
AL117329.1,go,False
AL118516.1,go,False
AL121603.2,go,False
AL137001.2,go,False
AL138756.1,go,False
AL139089.1,go,False
AL157938.3,go,False
AL158152.1,go,False
AL162595.1,go,False
AL354822.1,go,False
AL355488.1,go,False
AL359504.2,go,False
AL390728.6,go,False
AL441992.1,go,False
AL445524.1,go,False
AL450998.2,go,False
AL590062.1,go,False
AL627171.2,go,False
AL662844.4,go,False
AL683813.1,go,False
AL713998.1,go,False
ALDH6A1,go,False
ALG10B,go,False
ALOX12-AS1,go,False
AMMECR1L,go,False
ANKH,go,False
ANKRD10-IT1,go,False
ANKRD33B,go,False
ANKRD36,go,False
ANKRD36C,go,False
ANKRD42,go,False
ANKRD50,go,False
AP000873.2,go,False
AP001505.1,go,False
AP001531.1,go,False
AP002360.1,go,False
AP002387.2,go,False
AP003900.1,go,False
APTR,go,False
ARMT1,go,False
ARRDC1-AS1,go,False
ASB16-AS1,go,False
ASH1L-AS1,go,False
ATG101,go,False
ATP7A,go,False
ATRN,go,False
BBOX1-AS1,go,False
BCDIN3D,go,False
BMPR1A,go,False
BORCS7,go,False
BTRC,go,False
BX004987.1,go,False
BX255925.3,go,False
C12orf76,go,False
C14orf178,go,False
C16orf95,go,False
C19orf48,go,False
C19orf54,go,False
C19orf81,go,False
C1orf122,go,False
C21orf58,go,False
C21orf91,go,False
C2CD5,go,False
C2orf27A,go,False
C5orf34,go,False
C6orf52,go,False
C6orf62,go,False
C7orf26,go,False
C9orf85,go,False
CAMK2N1,go,False
CAMSAP2,go,False
CAPN10-DT,go,False
CARD8-AS1,go,False
CASD1,go,False
CAT,go,False
CBWD2,go,False
CBWD5,go,False
CCDC113,go,False
CCDC127,go,False
CCDC142,go,False
CCDC169,go,False
CCDC18-AS1,go,False
CCDC186,go,False
CCDC34,go,False
CCDC97,go,False
CD302,go,False
CEBPZOS,go,False
CENPBD1,go,False
CENPU,go,False
CENPX,go,False
CEP162,go,False
CEP295,go,False
CFAP97,go,False
CHKB-DT,go,False
CHMP4C,go,False
CHROMR,go,False
CKMT2-AS1,go,False
CLCN5,go,False
COL4A5,go,False
CR381653.1,go,False
CRAMP1,go,False
CREBRF,go,False
CRISPLD1,go,False
CRKL,go,False
CRNDE,go,False
CRYBG3,go,False
CTBP1-DT,go,False
CU638689.4,go,False
CYTOR,go,False
DANCR,go,False
DENND11,go,False
DENND5B,go,False
DENND6A,go,False
DHRS4-AS1,go,False
DLEU1,go,False
DLEU2,go,False
DNAJC3-DT,go,False
DNASE1,go,False
DOP1A,go,False
DSCR4-IT1,go,False
DSCR8,go,False
DUXAP8,go,False
EBLN3P,go,False
EFHC1,go,False
EFHC2,go,False
EIF3J-DT,go,False
EIF4EBP3,go,False
EMSY,go,False
ENTPD3-AS1,go,False
ENTPD5,go,False
EPB41L4A-AS1,go,False
ERCC6,go,False
ERO1A,go,False
ERV3-1,go,False
ERVK13-1,go,False
ERVK3-1,go,False
ERVMER61-1,go,False
EXOC3-AS1,go,False
EXOC3L2,go,False
FAM102B,go,False
FAM117A,go,False
FAM153CP,go,False
FAM160B2,go,False
FAM177A1,go,False
FAM178B,go,False
FAM193A,go,False
FAM200A,go,False
FAM200B,go,False
FAM89A,go,False
FAU,go,False
FBRS,go,False
FBXL18,go,False
FBXO30,go,False
FCHO2,go,False
FCHSD2,go,False
FER,go,False
FGD5-AS1,go,False
FLVCR1-DT,go,False
FNBP1L,go,False
FOXD3-AS1,go,False
FRS2,go,False
FTX,go,False
GABPB1-AS1,go,False
GABPB1-IT1,go,False
GALNT4,go,False
GARS-DT,go,False
GAS5,go,False
GATA2-AS1,go,False
GCLM,go,False
GDAP1,go,False
GDPD1,go,False
GIHCG,go,False
GIN1,go,False
GLMP,go,False
GNA12,go,False
GNB1L,go,False
GPAM,go,False
GVQW3,go,False
H19,go,False
HACD3,go,False
HBA1,go,False
HCFC2,go,False
HCG11,go,False
HCG18,go,False
HEATR6,go,False
HEIH,go,False
HELB,go,False
HELLPAR,go,False
HERC2,go,False
HHLA3,go,False
HIP1,go,False
HIST1H3B,go,False
HIST1H3D,go,False
