gene_id,source,incoming_nonself,outgoing_nonself,self_loop_only,candidate_target
HES4,go,6,9,False,False
ISG15,go,20,0,False,False
AGRN,go,20,9,False,False
B3GALT6,go,20,12,False,False
ACAP3,go,20,9,False,False
MXRA8,go,20,12,False,False
CCNL2,go,20,5,False,False
MRPL20-AS1,go,0,0,True,False
ANKRD65,go,0,0,True,False
VWA1,go,20,12,False,False
ATAD3C,go,0,0,True,False
ATAD3B,go,20,15,False,False
MIB2,go,20,50,False,False
SLC35E2B,go,20,7,False,False
CDK11A,go,20,28,False,True
TMEM52,go,20,34,False,False
PRKCZ,go,0,0,True,False
SKI,go,20,2,False,False
TNFRSF14,go,0,0,True,False
TPRG1L,go,0,0,True,False
WRAP73,go,20,16,False,False
SMIM1,go,20,81,False,False
CEP104,go,18,4,False,False
C1orf174,go,19,76,False,False
ESPN,go,7,2,False,True
ZBTB48,go,8,0,False,False
KLHL21,go,20,8,False,False
PHF13,go,20,12,False,False
THAP3,go,13,22,False,False
ERRFI1,go,0,0,True,False
AL034417.2,go,0,0,True,False
RERE,go,20,7,False,False
ENO1,go,20,13,False,True
GPR157,go,0,0,True,False
MIR34AHG,go,0,0,True,False
H6PD,go,0,0,True,False
SPSB1,go,0,0,True,False
SLC25A33,go,11,1,False,False
PIK3CD-AS2,go,0,0,True,False
CLSTN1,go,20,6,False,False
CTNNBIP1,go,20,0,False,False
UBE4B,go,20,3,False,False
KIF1B,go,20,16,False,False
CENPS,go,20,18,False,False
MASP2,go,0,0,True,False
AL109811.2,go,0,0,True,False
SRM,go,20,14,False,False
EXOSC10,go,20,16,False,True
MTOR,go,20,4,False,True
FBXO2,go,0,0,True,False
FBXO44,go,20,26,False,False
FBXO6,go,20,9,False,False
MTHFR,go,1,0,False,False
CLCN6,go,20,5,False,False
DHRS3,go,7,2,False,False
PRDM2,go,13,5,False,False
KAZN,go,0,0,True,False
TMEM51-AS1,go,0,0,True,False
TMEM51,go,0,0,True,False
EFHD2,go,15,5,False,False
DNAJC16,go,20,48,False,False
AGMAT,go,0,0,True,False
DDI2,go,20,0,False,False
PLEKHM2,go,20,1,False,False
TMEM82,go,0,0,True,False
FBLIM1,go,20,16,False,True
AL450998.2,go,0,0,True,False
SPEN,go,20,5,False,True
ZBTB17,go,12,5,False,True
SRARP,go,0,0,True,False
EPHA2,go,0,0,True,False
FBXO42,go,13,45,False,True
SZRD1,go,0,0,True,False
NECAP2,go,9,1,False,False
NBPF1,go,16,100,False,False
RCC2,go,20,1,False,False
ARHGEF10L,go,0,0,True,False
ALDH4A1,go,20,17,False,False
IFFO2,go,0,0,True,False
UBR4,go,20,37,False,True
MRTO4,go,20,20,False,True
SLC66A1,go,19,3,False,False
NBL1,go,0,0,True,False
OTUD3,go,0,0,True,False
PLA2G2A,go,0,0,True,False
CAMK2N1,go,0,0,True,False
MUL1,go,20,0,False,False
CDA,go,0,0,True,False
PINK1,go,10,1,False,False
HP1BP3,go,20,1,False,False
EIF4G3,go,20,13,False,False
ECE1,go,20,1,False,False
ALPL,go,0,0,True,False
RAP1GAP,go,20,17,False,False
HSPG2,go,20,20,False,False
CDC42,go,5,1,False,True
ZBTB40,go,10,3,False,False
KDM1A,go,20,0,False,True
LUZP1,go,20,2,False,False
LINC01355,go,0,0,True,False
HNRNPR,go,20,67,False,True
ZNF436-AS1,go,0,0,True,False
TCEA3,go,0,0,True,False
E2F2,go,16,25,False,False
ID3,go,20,3,False,False
PITHD1,go,20,0,False,False
LYPLA2,go,20,2,False,False
GALE,go,20,7,False,False
HMGCL,go,20,11,False,False
FUCA1,go,20,27,False,False
PNRC2,go,20,44,False,False
SRSF10,go,20,8,False,True
MYOM3,go,0,0,True,False
NIPAL3,go,20,17,False,False
RCAN3,go,0,0,True,False
SRRM1,go,20,83,False,True
CLIC4,go,20,2,False,False
SYF2,go,20,15,False,True
RSRP1,go,0,0,True,False
MACO1,go,20,5,False,False
