gene_id,source,incoming_nonself,outgoing_nonself,self_loop_only,candidate_target
LINC01409,go,0,0,True,False
LINC01128,go,0,0,True,False
HES4,go,6,11,False,False
ISG15,go,20,0,False,False
TNFRSF4,go,0,0,True,False
ACAP3,go,20,7,False,False
CCNL2,go,20,8,False,False
MRPL20-AS1,go,0,0,True,False
FNDC10,go,20,49,False,False
MIB2,go,20,52,False,False
CDK11B,go,20,42,False,False
SLC35E2B,go,20,10,False,False
CDK11A,go,20,25,False,True
SLC35E2A,go,0,0,True,False
SKI,go,20,1,False,False
AL139246.5,go,0,0,True,False
TPRG1L,go,0,0,True,False
LRRC47,go,20,7,False,False
CEP104,go,20,4,False,False
DFFB,go,20,12,False,False
KCNAB2,go,0,0,True,False
ICMT,go,20,22,False,False
ZBTB48,go,14,0,False,False
PHF13,go,20,10,False,False
THAP3,go,20,29,False,False
VAMP3,go,20,13,False,False
RERE,go,20,9,False,False
H6PD,go,0,0,True,False
PIK3CD-AS2,go,0,0,True,False
CLSTN1,go,17,5,False,False
CTNNBIP1,go,20,1,False,False
KIF1B,go,20,16,False,False
SRM,go,20,11,False,False
MAD2L2,go,20,2,False,True
MTHFR,go,1,0,False,False
CLCN6,go,20,3,False,False
VPS13D,go,13,1,False,True
PRDM2,go,20,4,False,False
EFHD2,go,14,5,False,False
DNAJC16,go,20,51,False,False
DDI2,go,20,0,False,False
AL450998.2,go,0,0,True,False
SPEN,go,20,5,False,True
FBXO42,go,20,0,False,True
NECAP2,go,20,4,False,False
NBPF1,go,20,111,False,False
RCC2,go,20,2,False,False
UBR4,go,20,36,False,True
MRTO4,go,20,20,False,True
OTUD3,go,0,0,True,False
CAMK2N1,go,0,0,True,False
PINK1,go,14,1,False,False
HP1BP3,go,20,2,False,False
EIF4G3,go,20,14,False,False
RAP1GAP,go,20,18,False,False
LINC00339,go,0,0,True,False
CDC42,go,5,1,False,True
ZBTB40,go,20,4,False,False
KDM1A,go,20,0,False,True
LUZP1,go,20,2,False,False
LINC01355,go,0,0,True,False
E2F2,go,20,24,False,False
ID3,go,20,2,False,False
PITHD1,go,20,0,False,False
LYPLA2,go,20,2,False,False
HMGCL,go,20,10,False,False
CNR2,go,0,0,True,False
PNRC2,go,20,42,False,False
SRSF10,go,20,6,False,True
NIPAL3,go,16,23,False,False
RCAN3,go,0,0,True,False
SRRM1,go,20,81,False,True
CLIC4,go,20,2,False,False
RUNX3,go,20,7,False,False
SYF2,go,20,16,False,True
RSRP1,go,0,0,True,False
MACO1,go,20,6,False,False
STMN1,go,20,1,False,False
PAFAH2,go,0,0,True,False
PDIK1L,go,20,83,False,False
SH3BGRL3,go,20,43,False,False
CD52,go,20,6,False,False
HMGN2,go,20,18,False,True
RPS6KA1,go,20,14,False,False
ARID1A,go,20,16,False,False
ZDHHC18,go,20,9,False,False
SLC9A1,go,0,0,True,False
TMEM222,go,15,69,False,False
SYTL1,go,0,0,True,False
WASF2,go,20,12,False,False
AHDC1,go,20,27,False,False
IFI6,go,0,0,True,False
FAM76A,go,20,10,False,False
STX12,go,20,12,False,False
EYA3,go,20,5,False,False
ATP5IF1,go,11,0,False,False
PHACTR4,go,11,1,False,False
SNHG3,go,0,0,True,False
SNHG12,go,0,0,True,False
TAF12,go,20,30,False,True
GMEB1,go,11,120,False,False
EPB41,go,20,4,False,False
SRSF4,go,20,64,False,False
LAPTM5,go,4,0,False,False
PUM1,go,20,10,False,True
LINC01226,go,0,0,True,False
PTP4A2,go,20,48,False,False
KPNA6,go,20,5,False,True
TXLNA,go,20,47,False,False
CCDC28B,go,20,74,False,False
MARCKSL1,go,20,35,False,False
BSDC1,go,20,130,False,False
ZBTB8A,go,19,1,False,False
YARS,go,20,11,False,True
S100PBP,go,20,48,False,False
TMEM54,go,15,62,False,False
PHC2,go,20,50,False,False
ZMYM6,go,20,13,False,False
ZMYM1,go,20,5,False,False
SFPQ,go,20,12,False,True
ZMYM4,go,20,6,False,True
KIAA0319L,go,20,95,False,False
CLSPN,go,20,8,False,True
AGO4,go,0,0,True,False
AGO1,go,20,10,False,False
AGO3,go,20,9,False,False
MAP7D1,go,20,8,False,False
SNIP1,go,20,31,False,True
CDCA8,go,20,4,False,False
C1orf122,go,0,0,True,False
MTF1,go,18,3,False,False
INPP5B,go,20,8,False,False
FHL3,go,20,3,False,False
RRAGC,go,20,9,False,False
AKIRIN1,go,20,3,False,False
MACF1,go,20,7,False,False
TRIT1,go,20,14,False,False
CAP1,go,20,4,False,True
RLF,go,17,2,False,False
ZMPSTE24,go,0,0,True,False
SMAP2,go,20,10,False,False
ZFP69B,go,18,8,False,True
RIMS3,go,0,0,True,False
HIVEP3,go,17,6,False,False
FOXJ3,go,11,49,False,False
PPCS,go,20,26,False,False
P3H1,go,0,0,True,False
C1orf50,go,20,30,False,False
SVBP,go,0,0,True,False
CDC20,go,20,8,False,True
SZT2,go,14,2,False,False
KDM4A,go,20,3,False,False
KDM4A-AS1,go,0,0,True,False
ST3GAL3,go,0,0,True,False
ATP6V0B,go,20,21,False,True
KIF2C,go,20,33,False,False
PRDX1,go,20,5,False,False
AKR1A1,go,20,0,False,False
NASP,go,20,10,False,True
GPBP1L1,go,20,38,False,False
IPP,go,19,16,False,False
PIK3R3,go,0,0,True,False
LRRC41,go,20,265,False,False
EFCAB14,go,11,3,False,False
TAL1,go,20,7,False,False
STIL,go,20,4,False,True
SPATA6,go,0,0,True,False
BEND5,go,0,0,True,False
FAF1,go,20,6,False,False
CDKN2C,go,20,9,False,False
RNF11,go,20,8,False,False
EPS15,go,20,19,False,False
NRDC,go,0,0,True,False
KTI12,go,20,11,False,True
ORC1,go,20,10,False,True
TUT4,go,20,1,False,False
ZYG11B,go,20,1,False,False
SCP2,go,6,1,False,False
LRP8,go,6,3,False,False
TMEM59,go,20,25,False,False
TCEANC2,go,20,38,False,False
SSBP3,go,20,17,False,True
DHCR24,go,20,2,False,False
USP24,go,20,46,False,False
MYSM1,go,20,9,False,True
JUN,go,20,10,False,False
NFIA,go,18,7,False,False
TM2D1,go,19,11,False,False
USP1,go,20,31,False,False
DOCK7,go,15,2,False,False
EFCAB7,go,0,0,True,False
JAK1,go,20,5,False,False
LEPROT,go,20,11,False,False
MIER1,go,20,37,False,True
GADD45A,go,20,1,False,False
ANKRD13C,go,20,21,False,False
ACADM,go,10,3,False,False
AC118549.1,go,0,0,True,True
USP33,go,20,7,False,False
MIGA1,go,0,0,True,False
AL359504.2,go,0,0,True,False
PRKACB,go,0,0,True,False
CTBS,go,6,2,False,False
SSX2IP,go,20,5,False,False
C1orf52,go,20,30,False,False
BCL10,go,20,3,False,False
ZNHIT6,go,20,4,False,True
ODF2L,go,20,17,False,False
SH3GLB1,go,20,8,False,False
HS2ST1,go,20,8,False,False
LMO4,go,0,0,True,False
PKN2,go,20,37,False,False
GTF2B,go,20,8,False,True
GBP3,go,0,0,True,False
GBP1,go,0,0,True,False
LRRC8B,go,20,25,False,False
LRRC8D,go,20,16,False,False
ZNF326,go,20,23,False,False
LINC02609,go,0,0,True,False
ZNF644,go,17,0,False,False
RPAP2,go,20,26,False,True
GFI1,go,20,0,False,False
MTF2,go,20,11,False,False
TMED5,go,20,35,False,False
CCDC18,go,0,0,True,False
CCDC18-AS1,go,0,0,True,False
DR1,go,20,6,False,True
FNBP1L,go,0,0,True,False
RWDD3,go,20,14,False,False
PTBP2,go,20,1,False,False
AGL,go,20,2,False,False
SLC35A3,go,20,4,False,False
TRMT13,go,17,1,False,False
DBT,go,20,6,False,False
RTCA-AS1,go,0,0,True,False
EXTL2,go,20,1,False,False
SLC30A7,go,20,2,False,False
AC093157.1,go,0,0,True,False
S1PR1,go,0,0,True,False
RNPC3,go,20,5,False,True
VAV3,go,0,0,True,False
SLC25A24,go,20,12,False,False
FAM102B,go,0,0,True,True
PRPF38B,go,20,9,False,True
STXBP3,go,20,7,False,False
GPSM2,go,20,7,False,False
WDR47,go,0,0,True,False
TAF13,go,20,28,False,True
TMEM167B,go,18,75,False,False
SARS,go,20,10,False,True
PSRC1,go,20,30,False,False
AMPD2,go,20,1,False,False
GSTM3,go,20,7,False,False
KCNC4,go,0,0,True,False
RBM15,go,20,3,False,True
CD53,go,20,49,False,False
LRIF1,go,20,4,False,False
CEPT1,go,19,6,False,False
CHI3L2,go,16,6,False,False
RAP1A,go,20,15,False,False
ST7L,go,20,0,False,False
RHOC,go,20,16,False,False
SLC16A1-AS1,go,0,0,True,False
LRIG2,go,18,1,False,False
RSBN1,go,20,5,False,False
PTPN22,go,0,0,True,False
HIPK1,go,20,12,False,True
TRIM33,go,20,23,False,False
NRAS,go,20,60,False,False
TSPAN2,go,0,0,True,False
VANGL1,go,0,0,True,False
CD2,go,0,0,True,False
TTF2,go,20,0,False,True
MAN1A2,go,20,18,False,False
TENT5C,go,0,0,True,False
GDAP2,go,20,5,False,False
WDR3,go,20,11,False,True
PHGDH,go,6,2,False,False
SEC22B,go,20,27,False,False
AL592494.2,go,0,0,True,False
POLR3C,go,20,14,False,True
PEX11B,go,20,33,False,False
POLR3GL,go,20,74,False,False
PRKAB2,go,20,31,False,False
BCL9,go,0,0,True,False
PDE4DIP,go,20,6,False,False
HIST2H2AC,go,20,29,False,True
SV2A,go,0,0,True,False
VPS45,go,20,44,False,False
PLEKHO1,go,20,1,False,False
ANP32E,go,20,5,False,False
PRPF3,go,20,77,False,True
RPRD2,go,20,3,False,False
MCL1,go,20,13,False,True
SETDB1,go,20,9,False,True
CDC42SE1,go,20,6,False,False
MLLT11,go,20,3,False,False
GABPB2,go,0,0,True,False
SCNM1,go,20,11,False,True
PIP5K1A,go,20,8,False,False
RFX5,go,19,65,False,False
POGZ,go,20,2,False,True
S100A10,go,20,4,False,False
S100A4,go,20,32,False,False
GATAD2B,go,20,11,False,False
DENND4B,go,20,20,False,False
CRTC2,go,20,5,False,False
RPS27,go,20,12,False,True
TPM3,go,20,28,False,False
ATP8B2,go,20,11,False,False
UBE2Q1,go,20,5,False,False
ADAR,go,20,1,False,False
PBXIP1,go,20,0,False,False
SHC1,go,18,3,False,True
CKS1B,go,20,6,False,False
DPM3,go,20,19,False,False
CLK2,go,20,19,False,True
FDPS,go,20,19,False,True
ASH1L,go,20,3,False,False
YY1AP1,go,20,25,False,False
GON4L,go,20,18,False,True
RIT1,go,16,1,False,False
KHDC4,go,20,191,False,False
ARHGEF2,go,20,1,False,False
SSR2,go,15,136,False,False
MEX3A,go,20,41,False,True
SLC25A44,go,19,5,False,False
MEF2D,go,17,16,False,False
GPATCH4,go,20,41,False,False
ISG20L2,go,20,12,False,True
HDGF,go,20,2,False,False
KIRREL1,go,0,0,True,False
CD1D,go,0,0,True,False
AL138899.1,go,0,0,True,False
CD1A,go,0,0,True,False
CD1C,go,0,0,True,False
CD1B,go,0,0,True,False
CD1E,go,0,0,True,False
AL365440.2,go,0,0,True,False
IFI16,go,0,0,True,False
TAGLN2,go,20,47,False,False
PIGM,go,16,5,False,False
DCAF8,go,20,283,False,False
COPA,go,20,24,False,True
CD84,go,0,0,True,False
CD48,go,0,0,True,False
LY9,go,0,0,True,False
TSTD1,go,0,0,True,False
USF1,go,14,4,False,False
ARHGAP30,go,0,0,True,False
DUSP12,go,20,29,False,False
ATF6,go,20,14,False,False
UHMK1,go,20,4,False,False
HSD17B7,go,17,0,False,False
NUF2,go,20,23,False,True
TMCO1,go,20,5,False,False
POGK,go,20,132,False,False
POU2F1,go,20,40,False,False
CD247,go,0,0,True,False
RCSD1,go,6,0,False,False
MPZL1,go,20,31,False,False
DCAF6,go,20,94,False,True
SFT2D2,go,20,28,False,False
BLZF1,go,20,33,False,False
SELL,go,0,0,True,False
SCYL3,go,0,0,True,False
KIFAP3,go,20,4,False,False
GORAB,go,20,33,False,False
VAMP4,go,20,16,False,False
PIGC,go,14,30,False,False
SUCO,go,20,3,False,False
KLHL20,go,20,6,False,False
CENPL,go,20,115,False,False
GAS5,go,0,0,True,False
ZBTB37,go,20,32,False,False
RC3H1,go,15,1,False,False
CACYBP,go,20,7,False,False
COP1,go,20,3,False,False
RALGPS2,go,20,27,False,False
ABL2,go,20,3,False,False
TOR1AIP2,go,20,33,False,False
TOR1AIP1,go,20,7,False,False
CEP350,go,20,29,False,False
STX6,go,20,25,False,False
MR1,go,20,1,False,False
IER5,go,20,49,False,False
GLUL,go,20,0,False,False
RNASEL,go,0,0,True,False
SMG7,go,20,8,False,True
ARPC5,go,20,22,False,False
C1orf21,go,0,0,True,False
EDEM3,go,20,7,False,False
TRMT1L,go,20,7,False,False
IVNS1ABP,go,20,2,False,False
TPR,go,20,3,False,True
ODR4,go,20,26,False,False
RO60,go,20,0,False,False
ASPM,go,3,0,False,False
ZBTB41,go,16,50,False,False
DENND1B,go,20,4,False,False
NEK7,go,20,12,False,False
PTPRC,go,1,0,False,False
MIR181A1HG,go,0,0,True,False
LINC01222,go,0,0,True,False
ZNF281,go,20,41,False,False
KIF14,go,20,13,False,True
DDX59,go,20,51,False,True
KIF21B,go,0,0,True,False
IPO9,go,20,37,False,True
ARL8A,go,20,23,False,False
PTPN7,go,20,20,False,False
UBE2T,go,20,23,False,False
PPP1R12B,go,20,13,False,False
