gene_id,source,candidate_target
AASS,go,False
ABHD18,go,False
ABHD2,go,False
ABLIM1,go,False
ABRACL,go,False
AC002310.1,go,False
AC002454.1,go,False
AC002558.3,go,False
AC003102.1,go,False
AC004687.1,go,False
AC004847.1,go,False
AC005261.1,go,False
AC005670.3,go,False
AC005833.2,go,False
AC006141.1,go,False
AC006449.6,go,False
AC006504.5,go,False
AC008105.3,go,False
AC008124.1,go,False
AC008267.5,go,False
AC008875.3,go,False
AC009061.2,go,False
AC009107.2,go,False
AC009120.2,go,False
AC009403.1,go,False
AC009404.1,go,False
AC010618.3,go,False
AC010642.2,go,False
AC010729.2,go,False
AC011893.1,go,False
AC012020.1,go,False
AC012146.1,go,False
AC012360.3,go,False
AC015813.1,go,False
AC015871.7,go,False
AC016074.2,go,False
AC016773.1,go,False
AC016876.1,go,False
AC018521.5,go,False
AC018647.2,go,False
AC019205.1,go,False
AC021683.3,go,False
AC025159.1,go,False
AC025171.1,go,False
AC025171.2,go,False
AC026356.2,go,False
AC026471.1,go,False
AC027601.6,go,False
AC027644.3,go,False
AC060780.1,go,False
AC064807.1,go,False
AC068587.4,go,False
AC073370.1,go,False
AC078846.1,go,False
AC090114.2,go,False
AC090152.1,go,False
AC090204.1,go,False
AC091729.3,go,False
AC092279.1,go,False
AC092338.3,go,False
AC092683.1,go,False
AC093157.1,go,False
AC093323.1,go,False
AC097376.3,go,False
AC100810.1,go,False
AC106791.1,go,False
AC110769.2,go,False
AC118549.1,go,True
AC123912.4,go,False
AC132192.2,go,False
AC139530.1,go,False
AC139887.2,go,False
AC144652.1,go,False
AC231981.1,go,False
AC240274.1,go,False
AC245060.5,go,False
ACAP1,go,False
ACSL6,go,False
ACSS1,go,False
ADA,go,False
ADA2,go,False
ADAMTS1,go,False
ADAMTS6,go,False
ADCYAP1,go,False
ADGRL1,go,False
AFAP1,go,False
AFDN,go,False
AFF2,go,False
AFF3,go,False
AGAP2,go,False
AGO4,go,False
AGTPBP1,go,False
AHCYL2,go,False
AK9,go,False
AKAP10,go,False
AKTIP,go,False
AL021368.2,go,False
AL022311.1,go,False
AL034397.3,go,False
AL080276.2,go,False
AL118516.1,go,False
AL121603.2,go,False
AL121929.2,go,False
AL138899.1,go,False
AL139246.5,go,False
AL157392.3,go,False
AL158152.1,go,False
AL359504.2,go,False
AL365295.1,go,False
AL365440.2,go,False
AL445524.1,go,False
AL450326.1,go,False
AL450998.2,go,False
AL592494.2,go,False
AL683813.1,go,False
AL928654.1,go,False
ALCAM,go,False
ALDH1A2,go,False
ALG10B,go,False
ALG1L,go,True
ALOX12-AS1,go,False
ALOX5AP,go,False
AMACR,go,False
AMMECR1L,go,False
ANKRD36,go,False
ANKRD36B,go,False
ANKRD36C,go,False
ANKRD44,go,False
ANKRD50,go,False
AP000873.2,go,False
AP002360.1,go,False
AP002387.2,go,False
AP005482.1,go,False
AP006621.3,go,False
AP4E1,go,False
APBB1IP,go,False
APOL6,go,False
APPL2,go,False
APTR,go,False
ARAP2,go,False
ARHGAP15,go,False
ARHGAP26,go,False
ARHGAP27,go,False
ARHGAP30,go,False
ARHGAP32,go,False
ARHGAP33,go,False
ARHGEF3,go,False
ARL17B,go,False
ARL4C,go,False
ARMC9,go,False
ARPP21,go,False
ARRDC1-AS1,go,False
ARSA,go,False
ASAP2,go,False
ASB16-AS1,go,False
ASIC1,go,False
ATAT1,go,False
ATP1A1,go,True
ATP2A1-AS1,go,False
ATP6AP1L,go,False
ATP7A,go,False
ATP8A2,go,False
ATRN,go,False
AUTS2,go,False
B4GALT6,go,False
BCDIN3D,go,False
BCL9,go,False
BCLAF3,go,False
BEND4,go,False
BEND5,go,False
BEX1,go,False
BEX3,go,False
BEX5,go,False
BIK,go,False
BIN2,go,False
BIRC3,go,False
BLK,go,False
BORCS6,go,False
BORCS7,go,False
BRD3OS,go,False
BTN3A1,go,False
C11orf96,go,False
C12orf75,go,False
C12orf76,go,False
C14orf178,go,True
C16orf54,go,False
C16orf86,go,True
C17orf67,go,False
C17orf97,go,False
C18orf21,go,True
C19orf48,go,False
C19orf53,go,True
C19orf81,go,False
C1QL1,go,False
C1orf122,go,False
C1orf21,go,False
C20orf197,go,False
C20orf96,go,False
C21orf58,go,False
C21orf91,go,False
C2CD5,go,False
C3orf62,go,False
C5orf56,go,False
C6orf223,go,False
C6orf62,go,False
C7orf26,go,True
C9,go,False
C9orf72,go,False
C9orf85,go,False
CABCOCO1,go,False
CAMK1D,go,False
CAMK2N1,go,False
CAMK2N2,go,False
CAMK4,go,False
CAPN10-DT,go,False
CAPRIN2,go,False
CARNMT1,go,False
CASC15,go,False
CASD1,go,False
