gene_id,source,candidate_target
A2M,go,False
A2M-AS1,go,False
A2ML1,go,False
AASS,go,False
AATBC,go,False
ABAT,go,False
ABC11-4932300O16.1,go,False
ABC12-49244600F4.4,go,False
ABCA1,go,False
ABCA13,go,False
ABCA4,go,False
ABCA5,go,False
ABCA6,go,False
ABCA9,go,False
ABCB1,go,False
ABCB11,go,False
ABCG2,go,False
ABHD1,go,False
ABHD11-AS1,go,False
ABHD12B,go,False
ABHD17C,go,False
ABHD4,go,False
ABI3BP,go,False
ABLIM1,go,False
ABLIM2,go,False
ABLIM3,go,False
ABTB1,go,False
AC002117.1,go,False
AC002331.1,go,False
AC002451.3,go,False
AC002456.2,go,False
AC002463.3,go,False
AC002511.2,go,False
AC003088.1,go,False
AC003092.1,go,False
AC003101.1,go,False
AC004051.2,go,False
AC004156.3,go,False
AC004158.3,go,False
AC004221.2,go,False
AC004490.1,go,False
AC004540.4,go,False
AC004540.5,go,False
AC004593.3,go,False
AC004702.2,go,False
AC004754.3,go,False
AC004791.2,go,False
AC004824.2,go,False
AC004878.8,go,False
AC004895.4,go,False
AC005009.1,go,False
AC005150.1,go,False
AC005197.2,go,False
AC005264.2,go,False
AC005281.2,go,False
AC005330.2,go,False
AC005477.1,go,False
AC005481.5,go,False
AC005540.3,go,False
AC005592.1,go,False
AC005616.2,go,False
AC005618.6,go,False
AC005754.8,go,False
AC005808.3,go,False
AC005932.1,go,False
AC005954.4,go,False
AC006042.7,go,False
AC006126.3,go,False
AC006129.2,go,False
AC006262.4,go,False
AC006262.5,go,False
AC006273.5,go,False
AC006378.2,go,False
AC006449.2,go,False
AC006547.15,go,False
AC006942.4,go,False
AC007038.7,go,False
AC007064.24,go,False
AC007131.1,go,False
AC007192.6,go,False
AC007193.6,go,False
AC007193.8,go,False
AC007193.9,go,False
AC007246.3,go,False
AC007277.3,go,False
AC007392.3,go,False
AC007556.3,go,False
AC007787.2,go,False
AC007879.2,go,False
AC007880.1,go,False
AC007950.1,go,False
AC008060.5,go,False
AC008592.7,go,False
AC009133.17,go,False
AC009410.1,go,False
AC009501.4,go,False
AC009506.1,go,False
AC010226.4,go,False
AC010525.4,go,False
AC010649.1,go,False
AC010746.3,go,False
AC010761.14,go,False
AC010761.6,go,False
AC010884.1,go,False
AC010983.1,go,False
AC011290.4,go,False
AC011298.2,go,False
AC011747.6,go,False
AC011893.3,go,False
AC011899.9,go,False
AC012314.20,go,False
AC012354.6,go,False
AC012442.6,go,False
AC012499.1,go,False
AC012507.3,go,False
AC012594.1,go,False
AC015691.13,go,False
AC015849.2,go,False
AC016629.3,go,False
AC016723.4,go,False
AC016735.2,go,False
AC016745.3,go,False
AC016907.3,go,False
AC017002.4,go,False
AC017028.10,go,False
AC017074.2,go,False
AC018737.3,go,False
AC018816.3,go,False
AC018878.3,go,False
AC020571.3,go,False
AC020594.5,go,False
AC020743.2,go,False
AC022007.5,go,False
AC022182.1,go,False
AC022182.3,go,False
AC023491.2,go,False
AC023590.1,go,False
AC024560.2,go,False
AC024592.9,go,False
AC024704.2,go,False
AC026150.8,go,False
AC026188.1,go,False
AC026202.3,go,False
AC034228.2,go,False
AC034228.4,go,False
AC058791.1,go,False
AC061992.2,go,False
AC064834.2,go,False
AC068831.15,go,False
AC073046.25,go,False
AC073133.2,go,False
AC073342.12,go,False
AC073834.3,go,False
AC073957.15,go,False
AC074289.1,go,False
AC078883.3,go,False
AC078941.1,go,False
AC079354.3,go,False
AC079466.1,go,False
AC079767.4,go,False
AC079807.4,go,False
AC090154.1,go,False
AC090505.4,go,False
AC091633.3,go,False
AC091814.3,go,False
AC092155.4,go,False
AC092159.2,go,False
AC092171.2,go,False
AC092431.3,go,False
AC092667.2,go,False
AC092835.2,go,False
AC092839.4,go,False
AC093074.1,go,False
AC093375.1,go,False
AC093609.1,go,False
AC093673.5,go,False
AC098820.4,go,False
AC098823.3,go,False
AC098973.2,go,False
AC099850.1,go,False
AC102953.4,go,False
AC104532.2,go,False
AC104534.2,go,False
AC104653.1,go,False
AC104654.2,go,False
AC104667.3,go,False
AC105052.2,go,False
AC105760.3,go,False
AC106900.6,go,False
AC108004.3,go,False
AC108051.3,go,False
AC108142.1,go,False
AC108868.6,go,False
AC109333.10,go,False
AC110781.3,go,False
AC114803.3,go,False
AC123023.1,go,False
AC124944.3,go,False
AC124944.5,go,False
AC131056.3,go,False
AC133633.2,go,False
AC136616.1,go,False
AC137932.4,go,False
AC138035.2,go,False
AC139099.6,go,False
AC139100.3,go,False
AC140725.4,go,False
AC142472.6,go,False
AC142528.1,go,False
AC144449.1,go,False
AC144568.2,go,False
AC144831.1,go,False
AC144831.3,go,False
AC145110.1,go,False
AC145343.2,go,False
AC195454.1,go,False
AC245100.1,go,False
ACAN,go,False
ACAP1,go,False
ACE,go,False
ACKR1,go,False
ACP5,go,False
ACPP,go,False
ACRBP,go,False
ACRC,go,False
ACSL5,go,False
ACSM1,go,False
ACSM5,go,False
ACTA2,go,False
ACTBL2,go,False
ACTC1,go,False
ACTL10,go,False
ACVRL1,go,False
AD000671.6,go,False
ADAM19,go,False
ADAM20,go,False
ADAM20P1,go,False
ADAM28,go,False
ADAM29,go,False
ADAM8,go,False
ADAMTS13,go,False
ADAMTS4,go,False
ADAMTS8,go,False
ADAP1,go,False
ADAP2,go,False
ADCK1,go,False
ADCY2,go,False
ADCY4,go,False
ADGB,go,False
ADGRD1,go,False
ADGRE1,go,False
ADGRE2,go,False
ADGRE3,go,False
ADGRE5,go,False
ADGRF1,go,False
ADGRF4,go,False
ADGRG1,go,False
ADGRG2,go,False
ADGRG3,go,False
ADGRG5,go,False
ADH1B,go,False
ADH6,go,False
ADHFE1,go,False
ADIRF,go,False
ADM,go,False
ADORA2A-AS1,go,False
ADORA3,go,False
ADPGK-AS1,go,False
ADRA2B,go,False
ADRB1,go,False
ADRB2,go,False
ADRB3,go,False
ADRBK2,go,False
AE000662.92,go,False
AF011889.2,go,False
AF064858.6,go,False
AF124730.4,go,False
AF127577.8,go,False
AF127936.3,go,False
AF127936.5,go,False
AF127936.7,go,False
AF146191.4,go,False
AF196970.3,go,False
AF240627.2,go,False
AGBL2,go,False
AGBL5-AS1,go,False
AGRP,go,False
AGXT,go,False
AIM1,go,False
AIPL1,go,False
AJ003147.8,go,False
AJ011932.1,go,False
AK8,go,False
AKAP12,go,False
AKAP3,go,False
AKR1B1,go,False
AKR1C4,go,False
AKT3,go,False
AL035610.2,go,False
AL136097.1,go,False
AL157902.3,go,False
AL357140.1,go,False
AL513523.2,go,False
ALCAM,go,False
ALDH1L1,go,False
ALDH3A2,go,False
ALDH3B1,go,False
ALDH3B2,go,False
ALDH7A1,go,False
ALDH8A1,go,False
ALLC,go,False
ALOX12,go,False
ALOX15,go,False
ALOX15B,go,False
ALOX5,go,False
ALOX5AP,go,False
ALPK1,go,False
ALPK2,go,False
ALS2CL,go,False
ALS2CR11,go,False
ALS2CR12,go,False
AMBN,go,False
AMDHD1,go,False
AMER3,go,False
AMIGO2,go,False
AMPH,go,False
ANGPT2,go,False
ANGPTL1,go,False
ANGPTL3,go,False
ANGPTL4,go,False
ANGPTL8,go,False
ANK2,go,False
ANKFN1,go,False
ANKK1,go,False
ANKRD22,go,False
ANKRD30A,go,False
ANKRD33,go,False
ANKRD35,go,False
ANKRD44,go,False
ANKRD55,go,False
ANKRD61,go,False
ANKRD62,go,False
ANKRD65,go,False
ANKRD7,go,False
ANKS4B,go,False
ANKUB1,go,False
AP000295.10,go,False
AP000302.58,go,False
AP000438.2,go,False
AP000654.4,go,False
AP000688.29,go,False
AP000695.4,go,False
AP000695.6,go,False
AP000708.1,go,False
AP000769.1,go,False
AP000936.4,go,False
AP001046.5,go,False
AP001046.6,go,False
AP001055.6,go,False
AP001059.5,go,False
AP001059.7,go,False
AP001171.1,go,False
AP001189.4,go,False
AP001258.4,go,False
AP001626.1,go,False
AP001626.2,go,False
AP003068.23,go,False
AP003774.1,go,False
AP006621.8,go,False
APBB1IP,go,False
APCDD1,go,False
APOBEC2,go,False
APOBEC3A,go,False
APOBEC3D,go,False
APOBEC3H,go,False
APOC1,go,False
APOC3,go,False
APOC4,go,False
APOC4-APOC2,go,False
APOD,go,False
APOF,go,False
APOL1,go,False
APOL3,go,False
APOL4,go,False
APOL6,go,False
APP,go,False
AQP1,go,False
AQP11,go,False
AQP12B,go,False
AQP2,go,False
AQP6,go,False
AQP8,go,False
ARAP1-AS1,go,False
ARAP2,go,False
ARAP3,go,False
ARC,go,False
ARHGAP30,go,False
ARHGAP42,go,False
ARHGAP9,go,False
ARHGEF17,go,False
ARHGEF26,go,False
ARHGEF28,go,False
ARHGEF33,go,False
ARIH2OS,go,False
ARL5C,go,False
ARPIN,go,False
ARPP21,go,False
ARSA,go,False
ARSB,go,False
ARSD,go,False
ARSG,go,False
ARSI,go,False
ART4,go,False
ASAP2,go,False
ASB4,go,False
ASB9,go,False
ASGR2,go,False
ASIP,go,False
ASPA,go,False
ASPHD1,go,False
ATCAY,go,False
ATE1-AS1,go,False
ATG16L2,go,False
ATP10D,go,False
ATP1A4,go,False
ATP1B1,go,False
ATP1B2,go,False
ATP1B4,go,False
ATP2B4,go,False
ATP6V1B1,go,False
ATP6V1G2-DDX39B,go,False
ATP8A1,go,False
ATP8A2,go,False
ATP8B4,go,False
ATP9A,go,False
AVP,go,False
AZU1,go,False
B3GALT4,go,False
B3GAT1,go,False
B3GNT8,go,False
B4GALNT2,go,False
BAALC,go,False
BAIAP2-AS1,go,False
BANCR,go,False
BARX1-AS1,go,False
BBS12,go,False
BCL2A1,go,False
BCL3,go,False
BCYRN1,go,False
BDNF-AS,go,False
BEND2,go,False
BFSP2,go,False
BFSP2-AS1,go,False
BIN2,go,False
BIRC3,go,False
BIRC7,go,False
BIRC8,go,False
BISPR,go,False
BLNK,go,False
BMF,go,False
BMP10,go,False
BMP7,go,False
BMP8A,go,False
BMS1P14,go,False
BMX,go,False
BNIPL,go,False
BPI,go,False
BPIFB1,go,False
BPIFC,go,False
BSN-AS2,go,False
BSND,go,False
BTBD16,go,False
BTBD19,go,False
BTBD8,go,False
BTLA,go,False
BTNL8,go,False
BZRAP1-AS1,go,False
C10orf10,go,False
C10orf11,go,False
C10orf126,go,False
C10orf53,go,False
C10orf54,go,False
C10orf90,go,False
C11orf21,go,False
C11orf63,go,False
C11orf70,go,False
C11orf96,go,False
C12orf54,go,False
C12orf56,go,False
C12orf77,go,False
C14orf105,go,False
C14orf180,go,False
C14orf37,go,False
C15orf43,go,False
C15orf53,go,False
C16orf45,go,False
C16orf54,go,False
C16orf89,go,False
C17orf64,go,False
C19orf33,go,False
C19orf35,go,False
C19orf38,go,False
C1QB,go,False
C1QTNF1-AS1,go,False
C1QTNF3-AMACR,go,False
C1orf127,go,False
C1orf132,go,False
C1orf140,go,False
C1orf141,go,False
C1orf162,go,False
C1orf186,go,False
C1orf194,go,False
C1orf204,go,False
C1orf210,go,False
C1orf228,go,False
C2,go,False
C20orf141,go,False
C20orf194,go,False
C20orf197,go,False
C20orf202,go,False
C21orf58,go,False
C21orf62-AS1,go,False
C22orf15,go,False
C2CD4D,go,False
C2orf66,go,False
C2orf78,go,False
C2orf91,go,False
C3,go,False
C3AR1,go,False
C3orf49,go,False
C4orf19,go,False
C4orf22,go,False
C4orf26,go,False
C4orf45,go,False
C6orf1,go,False
C6orf223,go,False
C6orf48,go,False
C7orf25,go,False
C7orf60,go,False
C7orf61,go,False
C7orf77,go,False
C8orf22,go,False
C8orf4,go,False
C8orf46,go,False
C8orf49,go,False
C8orf74,go,False
C8orf86,go,False
C8orf89,go,False
C9orf106,go,False
C9orf139,go,False
C9orf173,go,False
C9orf50,go,False
