gene_id,source,incoming_nonself,outgoing_nonself,self_loop_only,candidate_target
PLEKHN1,go,20,0,False,True
HES4,go,6,10,False,False
ISG15,go,20,0,False,False
DVL1,go,2,1,False,False
MXRA8,go,20,10,False,False
CCNL2,go,20,9,False,False
ATAD3B,go,20,16,False,False
ATAD3A,go,20,35,False,False
MIB2,go,20,51,False,False
CDK11A,go,20,26,False,True
SKI,go,20,3,False,False
MEGF6,go,20,37,False,False
TPRG1L,go,0,0,True,False
LRRC47,go,20,7,False,False
CEP104,go,20,7,False,False
C1orf174,go,20,69,False,False
RNF207,go,20,1,False,False
ICMT,go,20,29,False,False
NOL9,go,20,21,False,True
KLHL21,go,20,7,False,False
PHF13,go,20,11,False,False
THAP3,go,20,29,False,False
PER3,go,19,5,False,False
ERRFI1,go,0,0,True,False
RERE,go,20,8,False,False
ENO1,go,20,11,False,True
SPSB1,go,0,0,True,False
SLC25A33,go,11,1,False,False
UBE4B,go,20,1,False,False
KIF1B,go,20,17,False,False
CENPS,go,20,16,False,False
EXOSC10,go,20,15,False,True
MAD2L2,go,20,2,False,True
AGTRAP,go,20,45,False,False
PLOD1,go,20,3,False,False
VPS13D,go,12,1,False,True
DHRS3,go,6,2,False,False
PRDM2,go,12,5,False,False
DDI2,go,20,0,False,False
PLEKHM2,go,20,1,False,False
FBLIM1,go,20,15,False,True
SPEN,go,20,5,False,True
EPHA2,go,0,0,True,False
NECAP2,go,14,3,False,False
MFAP2,go,0,0,True,False
ATP13A2,go,1,0,False,False
RCC2,go,20,2,False,False
IFFO2,go,0,0,True,False
UBR4,go,20,36,False,True
MRTO4,go,20,19,False,True
SLC66A1,go,16,3,False,False
CAMK2N1,go,0,0,True,False
PINK1,go,12,1,False,False
HP1BP3,go,20,1,False,False
EPHB2,go,0,0,True,False
KDM1A,go,20,0,False,True
HNRNPR,go,20,74,False,True
ID3,go,20,3,False,False
RPL11,go,20,5,False,True
ELOA,go,20,7,False,False
PITHD1,go,20,0,False,False
LYPLA2,go,20,4,False,False
GALE,go,20,7,False,False
HMGCL,go,20,4,False,False
FUCA1,go,20,27,False,False
PNRC2,go,20,44,False,False
SRSF10,go,20,7,False,True
NIPAL3,go,20,27,False,False
RCAN3,go,0,0,True,False
SRRM1,go,20,85,False,True
CLIC4,go,20,1,False,False
SYF2,go,20,15,False,True
RSRP1,go,0,0,True,False
MACO1,go,20,6,False,False
STMN1,go,20,0,False,False
SH3BGRL3,go,20,61,False,False
HMGN2,go,20,18,False,True
ARID1A,go,20,14,False,False
NUDC,go,20,21,False,True
SLC9A1,go,0,0,True,False
TMEM222,go,20,55,False,False
AHDC1,go,18,26,False,False
IFI6,go,0,0,True,False
RPA2,go,20,5,False,True
SESN2,go,20,1,False,False
PHACTR4,go,16,1,False,False
RCC1,go,20,4,False,True
SNHG3,go,0,0,True,False
SNHG12,go,0,0,True,False
EPB41,go,20,5,False,False
SRSF4,go,20,66,False,False
SNRNP40,go,20,32,False,True
SERINC2,go,0,0,True,False
PEF1,go,20,3,False,True
SPOCD1,go,0,0,True,False
KHDRBS1,go,20,6,False,False
KPNA6,go,20,6,False,True
TXLNA,go,20,44,False,False
CCDC28B,go,20,73,False,False
HDAC1,go,20,15,False,False
MARCKSL1,go,20,35,False,False
BSDC1,go,16,123,False,False
ZBTB8A,go,6,2,False,False
RBBP4,go,20,18,False,True
SYNC,go,20,6,False,False
KIAA1522,go,10,0,False,False
YARS,go,20,13,False,True
S100PBP,go,20,56,False,False
TMEM54,go,20,51,False,False
PHC2,go,20,45,False,False
TMEM35B,go,0,0,True,False
ZMYM1,go,20,5,False,False
SFPQ,go,20,14,False,True
KIAA0319L,go,18,91,False,False
C1orf216,go,19,104,False,False
CLSPN,go,20,7,False,True
AGO3,go,20,8,False,False
THRAP3,go,20,10,False,True
SH3D21,go,0,0,True,False
EVA1B,go,20,114,False,False
SNIP1,go,20,33,False,True
DNALI1,go,0,0,True,False
GNL2,go,20,20,False,True
CDCA8,go,20,4,False,True
YRDC,go,20,0,False,True
MTF1,go,14,5,False,False
FHL3,go,20,3,False,False
RRAGC,go,20,7,False,False
AKIRIN1,go,20,3,False,False
MACF1,go,20,9,False,False
PPIE,go,20,29,False,True
TRIT1,go,20,14,False,False
RLF,go,11,2,False,False
CITED4,go,0,0,True,False
CTPS1,go,20,7,False,True
FOXJ3,go,8,40,False,False
PPCS,go,20,30,False,False
PPIH,go,20,12,False,True
P3H1,go,0,0,True,False
SVBP,go,0,0,True,False
SLC2A1,go,20,8,False,False
EBNA1BP2,go,20,27,False,True
CDC20,go,20,8,False,True
MED8,go,20,28,False,True
SZT2,go,15,3,False,False
HYI,go,20,0,False,False
PTPRF,go,10,2,False,False
ATP6V0B,go,20,22,False,True
KIF2C,go,20,36,False,False
PLK3,go,20,7,False,False
TOE1,go,20,18,False,True
NASP,go,20,10,False,True
GPBP1L1,go,20,34,False,False
PIK3R3,go,0,0,True,False
STIL,go,20,4,False,True
FAF1,go,20,7,False,False
CDKN2C,go,20,16,False,False
RNF11,go,20,8,False,False
EPS15,go,20,24,False,False
OSBPL9,go,20,17,False,False
RAB3B,go,0,0,True,False
KTI12,go,20,11,False,True
ORC1,go,20,11,False,True
PRPF38A,go,20,61,False,True
TUT4,go,20,1,False,False
COA7,go,0,0,True,False
NDC1,go,20,10,False,True
HSPB11,go,20,12,False,False
LRRC42,go,0,0,True,False
TMEM59,go,20,29,False,False
SSBP3,go,17,26,False,True
DHCR24,go,20,1,False,False
USP24,go,20,41,False,False
PLPP3,go,0,0,True,False
MYSM1,go,20,10,False,True
JUN,go,20,14,False,False
NFIA,go,16,11,False,False
TM2D1,go,20,16,False,False
PATJ,go,0,0,True,False
USP1,go,20,25,False,False
ITGB3BP,go,20,65,False,False
PGM1,go,0,0,True,False
AK4,go,20,5,False,False
LEPROT,go,20,11,False,False
SGIP1,go,0,0,True,False
GADD45A,go,20,1,False,False
GNG12,go,20,17,False,False
WLS,go,0,0,True,False
DEPDC1,go,20,16,False,False
ANKRD13C,go,18,22,False,False
NEGR1,go,0,0,True,False
TYW3,go,17,17,False,False
RABGGTB,go,20,6,False,True
AK5,go,0,0,True,False
AC118549.1,go,0,0,True,True
USP33,go,20,8,False,False
MIGA1,go,0,0,True,False
NEXN,go,20,2,False,False
FUBP1,go,20,72,False,False
DNAJB4,go,20,10,False,False
ADGRL4,go,0,0,True,False
