gene_id,source,candidate_target
AASS,go,False
ABCA1,go,False
ABHD2,go,False
ABLIM1,go,False
ABLIM3,go,False
ABTB1,go,False
AC005261.1,go,False
AC005670.3,go,False
AC007336.1,go,False
AC008969.1,go,False
AC009107.2,go,False
AC010198.2,go,False
AC010642.2,go,False
AC016831.1,go,False
AC016831.5,go,False
AC016831.7,go,False
AC018464.1,go,False
AC020916.1,go,False
AC025159.1,go,False
AC026124.1,go,False
AC026356.2,go,False
AC027031.2,go,False
AC027644.3,go,False
AC037198.1,go,False
AC048341.1,go,False
AC073365.1,go,False
AC091607.2,go,False
AC092683.1,go,False
AC092807.3,go,False
AC093673.1,go,False
AC100810.1,go,False
AC113383.1,go,False
AC118549.1,go,True
AC245297.3,go,False
ACTA2,go,False
ACVR1,go,False
ADAM12,go,False
ADAM19,go,False
ADAM23,go,False
ADAMTS1,go,False
ADAMTS12,go,False
ADAMTS6,go,False
ADGRA3,go,False
ADGRG6,go,False
ADGRL4,go,False
ADM,go,False
ADRB2,go,False
AF117829.1,go,False
AFAP1,go,False
AFDN,go,False
AFF3,go,False
AGAP2-AS1,go,False
AHNAK2,go,False
AJUBA,go,False
AK5,go,False
AK6,go,False
AKAP12,go,False
AKR1B1,go,False
AKT3,go,False
AL022311.1,go,False
AL133453.1,go,False
AL158152.1,go,False
AL161431.1,go,False
AL441992.1,go,False
AL445524.1,go,False
AL627171.2,go,False
ALCAM,go,False
ALDH1A3,go,False
ALDH3A2,go,False
ALDH3B1,go,False
ALDH7A1,go,False
ALG1L,go,True
AMIGO2,go,False
AMOTL2,go,False
AMTN,go,False
ANGPTL4,go,False
ANKRD1,go,False
ANKRD36,go,False
ANKRD36C,go,False
ANKRD37,go,False
ANKRD44,go,False
ANKRD50,go,False
ANOS1,go,False
ANTXR1,go,False
ANXA10,go,False
AP002360.1,go,False
AP006621.3,go,False
AP1M2,go,False
AP1S3,go,False
APBB1,go,False
APBB1IP,go,False
APBB2,go,False
APOLD1,go,False
APP,go,False
APPL2,go,False
ARAP2,go,False
ARFGEF3,go,False
ARHGAP10,go,False
