condition_id,metric_id,value,reason,gene_count
BAK1+BCL2L11,txpert_macro_pearson_delta,0.42483958741066968,,5045
BAK1+BCL2L11,trishift_pearson_delta,0.83518044701282701,,19
BAK1+BCL2L11,systema_pearson,0.90558856745889726,,19
CBL+UBASH3B,txpert_macro_pearson_delta,0.92051607610535058,,5045
CBL+UBASH3B,trishift_pearson_delta,0.96413402099690382,,20
CBL+UBASH3B,systema_pearson,0.91234769858587328,,20
CEBPA+CEBPE,txpert_macro_pearson_delta,0.9780702619141961,,5045
CEBPA+CEBPE,trishift_pearson_delta,0.99750723318697299,,19
CEBPA+CEBPE,systema_pearson,0.99747887101179744,,19
CEBPB+CEBPE,txpert_macro_pearson_delta,0.94163141510616666,,5045
CEBPB+CEBPE,trishift_pearson_delta,0.98611912755056852,,19
CEBPB+CEBPE,systema_pearson,0.98536345018929017,,19
CEBPE+SET,txpert_macro_pearson_delta,0.8486117445537612,,5045
CEBPE+SET,trishift_pearson_delta,0.94298730299180966,,18
CEBPE+SET,systema_pearson,0.9177549005370399,,18
CEBPE+ZC3HAV1,txpert_macro_pearson_delta,0.80539160359596551,,5045
CEBPE+ZC3HAV1,trishift_pearson_delta,0.97317296886185001,,18
CEBPE+ZC3HAV1,systema_pearson,0.94336144916351683,,18
CNN1+UBASH3A,txpert_macro_pearson_delta,0.88298204923952028,,5045
CNN1+UBASH3A,trishift_pearson_delta,0.94864547319102865,,19
CNN1+UBASH3A,systema_pearson,0.86664220891760257,,19
COL2A1+KLF1,txpert_macro_pearson_delta,0.85002057049182134,,5045
COL2A1+KLF1,trishift_pearson_delta,0.90546155310125864,,18
COL2A1+KLF1,systema_pearson,0.89047580081576327,,18
ETS2+PRTG,txpert_macro_pearson_delta,0.87472402357787304,,5045
ETS2+PRTG,trishift_pearson_delta,0.97736968785575173,,18
ETS2+PRTG,systema_pearson,0.95424745348786955,,18
KIF18B+KIF2C,txpert_macro_pearson_delta,0.6489562351158592,,5045
KIF18B+KIF2C,trishift_pearson_delta,0.91312091784789229,,18
KIF18B+KIF2C,systema_pearson,0.91530587171537792,,18
PRTG+TGFBR2,txpert_macro_pearson_delta,0.94399616596011438,,5045
PRTG+TGFBR2,trishift_pearson_delta,0.99031864199793518,,19
PRTG+TGFBR2,systema_pearson,0.98270252518944068,,19
S1PR2+SGK1,txpert_macro_pearson_delta,0.90988360810769042,,5045
S1PR2+SGK1,trishift_pearson_delta,0.9473484366946433,,20
S1PR2+SGK1,systema_pearson,0.9056749745029774,,20
UBASH3A+UBASH3B,txpert_macro_pearson_delta,0.91118513235510223,,5045
UBASH3A+UBASH3B,trishift_pearson_delta,0.97387212226095554,,19
UBASH3A+UBASH3B,systema_pearson,0.86659545465621668,,19
