condition_id,metric_id,value,reason,gene_count
AARS+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AARS+ctrl,trishift_pearson_delta,-0.37651606182276659,,20
AARS+ctrl,systema_pearson,-0.84843896294576326,,20
AASDHPPT+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AASDHPPT+ctrl,trishift_pearson_delta,-0.074874463088591053,,20
AASDHPPT+ctrl,systema_pearson,0.764551955168293,,20
ABHD17A+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ABHD17A+ctrl,trishift_pearson_delta,0.18173236338786924,,20
ABHD17A+ctrl,systema_pearson,0.096516275649025526,,20
ACTR10+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ACTR10+ctrl,trishift_pearson_delta,0.58207144011232859,,20
ACTR10+ctrl,systema_pearson,-0.85727650908793296,,20
ADAT3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ADAT3+ctrl,trishift_pearson_delta,0.65364891125694169,,20
ADAT3+ctrl,systema_pearson,0.75282940217755201,,20
AGBL5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AGBL5+ctrl,trishift_pearson_delta,-0.15238530599275715,,20
AGBL5+ctrl,systema_pearson,-0.021313113717049265,,20
AKIRIN2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AKIRIN2+ctrl,trishift_pearson_delta,-0.57660331473538151,,20
AKIRIN2+ctrl,systema_pearson,-0.39225452779572362,,20
ALDOA+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ALDOA+ctrl,trishift_pearson_delta,0.04803875211414476,,20
ALDOA+ctrl,systema_pearson,0.67271795294790182,,20
ALG14+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ALG14+ctrl,trishift_pearson_delta,0.39371886447401655,,20
ALG14+ctrl,systema_pearson,0.042745772533972506,,20
ALYREF+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ALYREF+ctrl,trishift_pearson_delta,-0.23445472469461068,,20
ALYREF+ctrl,systema_pearson,-0.014377531086793878,,20
ANAPC11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANAPC11+ctrl,trishift_pearson_delta,0.18726969873398974,,20
ANAPC11+ctrl,systema_pearson,-0.12274338943179812,,20
ANAPC15+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANAPC15+ctrl,trishift_pearson_delta,0.45977955726998387,,20
ANAPC15+ctrl,systema_pearson,0.65388584747191747,,20
ANAPC4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANAPC4+ctrl,trishift_pearson_delta,-0.16108694583224353,,20
ANAPC4+ctrl,systema_pearson,-0.14224640955281678,,20
ANKLE2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANKLE2+ctrl,trishift_pearson_delta,-0.022816761262844421,,20
ANKLE2+ctrl,systema_pearson,0.87794602900981211,,20
ANKRD11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANKRD11+ctrl,trishift_pearson_delta,-0.28221078008897865,,19
ANKRD11+ctrl,systema_pearson,-0.35624286053823051,,19
ANKS6+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANKS6+ctrl,trishift_pearson_delta,0.61481980086147348,,20
ANKS6+ctrl,systema_pearson,0.80662477532751775,,20
AP2A1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AP2A1+ctrl,trishift_pearson_delta,-0.83490869293535896,,20
AP2A1+ctrl,systema_pearson,-0.89585303191205645,,20
ARHGAP6+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARHGAP6+ctrl,trishift_pearson_delta,-0.46594527371581629,,20
ARHGAP6+ctrl,systema_pearson,-0.79616588304806812,,20
ARL4D+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARL4D+ctrl,trishift_pearson_delta,-0.020377877010907427,,20
ARL4D+ctrl,systema_pearson,-0.53521175896575079,,20
ARPC1B+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARPC1B+ctrl,trishift_pearson_delta,0.13303600612510899,,20
ARPC1B+ctrl,systema_pearson,-0.93912925318855767,,20
ARRB2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARRB2+ctrl,trishift_pearson_delta,0.86469000443321253,,20
ARRB2+ctrl,systema_pearson,-0.7497296059760804,,20
ATF5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATF5+ctrl,trishift_pearson_delta,0.85535834096334618,,20
ATF5+ctrl,systema_pearson,-0.84168276650631202,,20
ATL2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATL2+ctrl,trishift_pearson_delta,-0.26895512849456354,,20
