condition_id,metric_id,value,reason,gene_count
AARS+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AARS+ctrl,trishift_pearson_delta,0.34412586924761279,,20
AARS+ctrl,systema_pearson,-0.84618340235035683,,20
AASDHPPT+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AASDHPPT+ctrl,trishift_pearson_delta,0.055490873524137799,,20
AASDHPPT+ctrl,systema_pearson,-0.024379220603103876,,20
ABHD17A+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ABHD17A+ctrl,trishift_pearson_delta,0.33015791774508535,,20
ABHD17A+ctrl,systema_pearson,0.13913501044192411,,20
ACTR10+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ACTR10+ctrl,trishift_pearson_delta,-0.53534681058425004,,20
ACTR10+ctrl,systema_pearson,-0.29914268551326056,,20
ADAT3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ADAT3+ctrl,trishift_pearson_delta,-0.078697002248273557,,20
ADAT3+ctrl,systema_pearson,0.76727268797385428,,20
AGBL5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AGBL5+ctrl,trishift_pearson_delta,-0.037634490996376967,,20
AGBL5+ctrl,systema_pearson,0.01157065190451584,,20
AKIRIN2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AKIRIN2+ctrl,trishift_pearson_delta,0.30623064808489459,,20
AKIRIN2+ctrl,systema_pearson,-0.20667426037946388,,20
ALDOA+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ALDOA+ctrl,trishift_pearson_delta,0.1030419103144007,,20
ALDOA+ctrl,systema_pearson,-0.58150537970718541,,20
ALG14+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ALG14+ctrl,trishift_pearson_delta,-0.45915549751086598,,20
ALG14+ctrl,systema_pearson,0.31593696762574669,,20
ALYREF+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ALYREF+ctrl,trishift_pearson_delta,-0.26242180110753138,,20
ALYREF+ctrl,systema_pearson,-0.23999456240463715,,20
ANAPC11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANAPC11+ctrl,trishift_pearson_delta,0.077734932182960806,,20
ANAPC11+ctrl,systema_pearson,-0.37774501129984472,,20
ANAPC15+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANAPC15+ctrl,trishift_pearson_delta,0.045412331050930704,,20
ANAPC15+ctrl,systema_pearson,-0.39143190459126875,,20
ANAPC4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANAPC4+ctrl,trishift_pearson_delta,-0.38015877425507433,,20
ANAPC4+ctrl,systema_pearson,-0.11728679915090241,,20
ANKLE2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANKLE2+ctrl,trishift_pearson_delta,-0.69196619187699326,,20
ANKLE2+ctrl,systema_pearson,-0.44501942280735646,,20
ANKRD11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANKRD11+ctrl,trishift_pearson_delta,-0.02759136260662454,,19
ANKRD11+ctrl,systema_pearson,-0.53176617808228355,,19
ANKS6+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANKS6+ctrl,trishift_pearson_delta,0.4506363236866226,,20
ANKS6+ctrl,systema_pearson,0.85714687116744259,,20
AP2A1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AP2A1+ctrl,trishift_pearson_delta,0.41588987394094556,,20
AP2A1+ctrl,systema_pearson,-0.54891813637755704,,20
ARHGAP6+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARHGAP6+ctrl,trishift_pearson_delta,0.3524090763795199,,20
ARHGAP6+ctrl,systema_pearson,-0.2973601481025358,,20
ARL4D+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARL4D+ctrl,trishift_pearson_delta,0.1742277460387415,,20
ARL4D+ctrl,systema_pearson,0.24746696782908903,,20
ARPC1B+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARPC1B+ctrl,trishift_pearson_delta,-0.4104269016976812,,20
ARPC1B+ctrl,systema_pearson,0.033985701571017476,,20
ARRB2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARRB2+ctrl,trishift_pearson_delta,0.28003124077634806,,20
ARRB2+ctrl,systema_pearson,0.097978637294123663,,20
ATF5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATF5+ctrl,trishift_pearson_delta,-0.21995103515859418,,20
ATF5+ctrl,systema_pearson,0.19786547741423,,20
ATL2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATL2+ctrl,trishift_pearson_delta,0.51858385374581839,,20
ATL2+ctrl,systema_pearson,-0.82305394750408745,,20
ATP5PD+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATP5PD+ctrl,trishift_pearson_delta,0.27055554912169905,,20
ATP5PD+ctrl,systema_pearson,-0.55382617227731101,,20
ATP6V1C1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATP6V1C1+ctrl,trishift_pearson_delta,0.49224174535005261,,20
ATP6V1C1+ctrl,systema_pearson,0.64948276064584942,,20
ATP6V1G1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATP6V1G1+ctrl,trishift_pearson_delta,0.28224678260346375,,20
ATP6V1G1+ctrl,systema_pearson,-0.136942033101147,,20
AURKAIP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AURKAIP1+ctrl,trishift_pearson_delta,0.093236631671261574,,20
AURKAIP1+ctrl,systema_pearson,0.055711949412077293,,20
BDP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BDP1+ctrl,trishift_pearson_delta,-0.45535273837697571,,20
BDP1+ctrl,systema_pearson,-0.77835134429528352,,20
BOP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BOP1+ctrl,trishift_pearson_delta,-0.29424848523349262,,20
BOP1+ctrl,systema_pearson,-0.79423807735381557,,20
BRCA2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BRCA2+ctrl,trishift_pearson_delta,-0.023710582576944503,,20
BRCA2+ctrl,systema_pearson,-0.10324667508979651,,20
BRF1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BRF1+ctrl,trishift_pearson_delta,-0.73743937373131796,,20
BRF1+ctrl,systema_pearson,-0.71079391888926713,,20
BRIP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BRIP1+ctrl,trishift_pearson_delta,0.12197925233718104,,20
BRIP1+ctrl,systema_pearson,-0.31520559637288037,,20
BTF3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BTF3+ctrl,trishift_pearson_delta,0.07618989419979158,,20
BTF3+ctrl,systema_pearson,-0.52704360102366943,,20
BTF3L4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BTF3L4+ctrl,trishift_pearson_delta,0.22908486608591175,,20
BTF3L4+ctrl,systema_pearson,0.58231042341194073,,20
BUB1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUB1+ctrl,trishift_pearson_delta,0.30827448243931566,,20
BUB1+ctrl,systema_pearson,-0.10530088758073353,,20
BUB1B+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUB1B+ctrl,trishift_pearson_delta,-0.43162948591570038,,20
BUB1B+ctrl,systema_pearson,-0.81152290296434237,,20
BUB3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUB3+ctrl,trishift_pearson_delta,-0.33825644774841829,,20
BUB3+ctrl,systema_pearson,-0.58827921588589438,,20
BUD13+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUD13+ctrl,trishift_pearson_delta,0.052164082229466766,,20
BUD13+ctrl,systema_pearson,-0.93929742424008245,,20
BYSL+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BYSL+ctrl,trishift_pearson_delta,-0.03736847477543883,,20
BYSL+ctrl,systema_pearson,-0.50725992945736298,,20
C6orf15+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
C6orf15+ctrl,trishift_pearson_delta,0.41374308108988539,,20
C6orf15+ctrl,systema_pearson,0.35525893120470542,,20
C7orf26+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
C7orf26+ctrl,trishift_pearson_delta,-0.60356759664790927,,20
C7orf26+ctrl,systema_pearson,-0.29445761050301167,,20
CABIN1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CABIN1+ctrl,trishift_pearson_delta,-0.39014774212439501,,20
CABIN1+ctrl,systema_pearson,0.10199298691651223,,20
CACTIN+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CACTIN+ctrl,trishift_pearson_delta,0.42700959450005432,,20
CACTIN+ctrl,systema_pearson,-0.7463456988819217,,20
CAMLG+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CAMLG+ctrl,trishift_pearson_delta,-0.4507828039037089,,20
CAMLG+ctrl,systema_pearson,-0.62697717387394059,,20
CBX1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CBX1+ctrl,trishift_pearson_delta,0.28147721730561864,,20
CBX1+ctrl,systema_pearson,0.3478333830237994,,20
CCDC115+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCDC115+ctrl,trishift_pearson_delta,-0.10657780588049459,,20
CCDC115+ctrl,systema_pearson,-0.18375650238940194,,20
CCDC144NL+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCDC144NL+ctrl,trishift_pearson_delta,-0.22027260914522315,,20
CCDC144NL+ctrl,systema_pearson,0.14276182180109112,,20
CCNQ+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCNQ+ctrl,trishift_pearson_delta,0.1098701505166365,,20
CCNQ+ctrl,systema_pearson,0.09019422908492622,,20
CCP110+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCP110+ctrl,trishift_pearson_delta,-0.058387894669443177,,20
CCP110+ctrl,systema_pearson,0.14901486609568076,,20
CCT2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCT2+ctrl,trishift_pearson_delta,0.31675011522991958,,20
CCT2+ctrl,systema_pearson,-0.69461784785712977,,20
CDC42+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CDC42+ctrl,trishift_pearson_delta,0.088628315676136285,,20
CDC42+ctrl,systema_pearson,-0.55875978545613492,,20
CDC7+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CDC7+ctrl,trishift_pearson_delta,0.058660227640741927,,20
CDC7+ctrl,systema_pearson,-0.41411205977487314,,20
CDK1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CDK1+ctrl,trishift_pearson_delta,-0.18046024159285959,,20
CDK1+ctrl,systema_pearson,-0.59979919113232161,,20
CDK9+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CDK9+ctrl,trishift_pearson_delta,-0.4225060407861605,,20
CDK9+ctrl,systema_pearson,0.090920896854970248,,20
CEBPZ+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CEBPZ+ctrl,trishift_pearson_delta,-0.27194033878222651,,20
CEBPZ+ctrl,systema_pearson,-0.73166669499168113,,20
CENPA+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CENPA+ctrl,trishift_pearson_delta,0.22235846908199072,,20
CENPA+ctrl,systema_pearson,0.21230311426452897,,20
CENPC+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CENPC+ctrl,trishift_pearson_delta,-0.44170585059911288,,20
CENPC+ctrl,systema_pearson,-0.46859775425728378,,20
CENPJ+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CENPJ+ctrl,trishift_pearson_delta,0.0051548849935284047,,20
CENPJ+ctrl,systema_pearson,-0.26942544459564954,,20
CENPK+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CENPK+ctrl,trishift_pearson_delta,0.18878054681950032,,20
CENPK+ctrl,systema_pearson,-0.78158672272636232,,20
CENPW+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CENPW+ctrl,trishift_pearson_delta,0.24533948272763112,,20
CENPW+ctrl,systema_pearson,-0.26792612229947554,,20
CEP192+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CEP192+ctrl,trishift_pearson_delta,0.25202927758859589,,20
CEP192+ctrl,systema_pearson,0.55144769813088124,,20
CEP85+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CEP85+ctrl,trishift_pearson_delta,-0.40797856075598343,,20
CEP85+ctrl,systema_pearson,0.29490349928913817,,20
CHCHD2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHCHD2+ctrl,trishift_pearson_delta,-0.42474633646485588,,20
CHCHD2+ctrl,systema_pearson,-0.20912584935671025,,20
CHCHD3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHCHD3+ctrl,trishift_pearson_delta,-0.19012917304581023,,20
CHCHD3+ctrl,systema_pearson,0.80102002039980025,,20
CHEK1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHEK1+ctrl,trishift_pearson_delta,0.14425729214230998,,20
CHEK1+ctrl,systema_pearson,0.37058543644821096,,20
CHMP3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHMP3+ctrl,trishift_pearson_delta,-0.047149298357755186,,20
CHMP3+ctrl,systema_pearson,-0.77634184760960323,,20
CHMP4B+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHMP4B+ctrl,trishift_pearson_delta,0.46237602780346487,,20
CHMP4B+ctrl,systema_pearson,0.38420180082484595,,20
CHTF8+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CHTF8+ctrl,trishift_pearson_delta,-0.024910794679282058,,20
CHTF8+ctrl,systema_pearson,-0.39263662312063558,,20
CIAO1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CIAO1+ctrl,trishift_pearson_delta,0.24772213250744327,,20
CIAO1+ctrl,systema_pearson,-0.019595068602248234,,20
CLSPN+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CLSPN+ctrl,trishift_pearson_delta,-0.32923802600776464,,20
CLSPN+ctrl,systema_pearson,0.70165336271734613,,20
CNIH4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CNIH4+ctrl,trishift_pearson_delta,0.0037615302592863679,,20
CNIH4+ctrl,systema_pearson,0.14458490129761684,,20
CNOT10+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CNOT10+ctrl,trishift_pearson_delta,0.071761805217867472,,20
CNOT10+ctrl,systema_pearson,-0.15314695995075889,,20
CNOT2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CNOT2+ctrl,trishift_pearson_delta,0.39451526193896302,,20
CNOT2+ctrl,systema_pearson,-0.35328679162311355,,20
COG4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COG4+ctrl,trishift_pearson_delta,0.13558682315466919,,20
COG4+ctrl,systema_pearson,-0.39337542032084477,,20
COPB2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COPB2+ctrl,trishift_pearson_delta,0.77347303787679755,,20
COPB2+ctrl,systema_pearson,0.80416505405139871,,20
COPS5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COPS5+ctrl,trishift_pearson_delta,0.56532834099174056,,20
COPS5+ctrl,systema_pearson,-0.86411926595745181,,20
COQ2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COQ2+ctrl,trishift_pearson_delta,-0.7355024852718991,,20
COQ2+ctrl,systema_pearson,-0.31858062776904822,,20
COQ5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COQ5+ctrl,trishift_pearson_delta,-0.18553933044666801,,20
COQ5+ctrl,systema_pearson,0.47833277261395518,,20
COX15+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COX15+ctrl,trishift_pearson_delta,0.5288912077472947,,20
COX15+ctrl,systema_pearson,-0.06095894489572351,,20
COX5B+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
COX5B+ctrl,trishift_pearson_delta,-0.48650281565119047,,20
COX5B+ctrl,systema_pearson,-0.4327093928064083,,20
CPNE1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CPNE1+ctrl,trishift_pearson_delta,-0.67331254483248315,,20
CPNE1+ctrl,systema_pearson,-0.75460344057334816,,20
CPOX+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CPOX+ctrl,trishift_pearson_delta,-0.30612405833490769,,20
CPOX+ctrl,systema_pearson,-0.2485810862861379,,20
CRKL+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CRKL+ctrl,trishift_pearson_delta,0.20854764313559718,,20
CRKL+ctrl,systema_pearson,0.27700721036767623,,20
CRNKL1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CRNKL1+ctrl,trishift_pearson_delta,-0.1299969295056681,,20
CRNKL1+ctrl,systema_pearson,0.10346905053452729,,20
CT45A5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CT45A5+ctrl,trishift_pearson_delta,-0.1421976203645329,,20
CT45A5+ctrl,systema_pearson,0.073467052294621485,,20
CTCF+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CTCF+ctrl,trishift_pearson_delta,0.1095721994315899,,20
CTCF+ctrl,systema_pearson,-0.25265441814045086,,20
CTU2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CTU2+ctrl,trishift_pearson_delta,0.64300792312678579,,20
CTU2+ctrl,systema_pearson,-0.14969198771431308,,20
CWC22+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CWC22+ctrl,trishift_pearson_delta,0.39340748260630815,,20
CWC22+ctrl,systema_pearson,-0.45450486389182942,,20
CWC25+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CWC25+ctrl,trishift_pearson_delta,-0.3804254637743012,,20
CWC25+ctrl,systema_pearson,-0.91410164964899276,,20
CWF19L2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CWF19L2+ctrl,trishift_pearson_delta,-0.38748372445114859,,20
CWF19L2+ctrl,systema_pearson,-0.78581450213294946,,20
CYC1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CYC1+ctrl,trishift_pearson_delta,0.45007917996342534,,20
CYC1+ctrl,systema_pearson,0.81475613634579669,,20
CYP4F11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CYP4F11+ctrl,trishift_pearson_delta,0.026953762072240386,,20
CYP4F11+ctrl,systema_pearson,0.05421088022066458,,20
DAP3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DAP3+ctrl,trishift_pearson_delta,0.093682550323640493,,20
DAP3+ctrl,systema_pearson,-0.14902422213284808,,20
DARS+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DARS+ctrl,trishift_pearson_delta,0.56236878134737511,,20
DARS+ctrl,systema_pearson,0.75718310019302326,,20
DBF4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DBF4+ctrl,trishift_pearson_delta,0.16757116546035342,,20
DBF4+ctrl,systema_pearson,0.40164679975889811,,20
DCAF6+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DCAF6+ctrl,trishift_pearson_delta,-0.46802073134278377,,20
DCAF6+ctrl,systema_pearson,-0.52696486549368893,,20
DCTN2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DCTN2+ctrl,trishift_pearson_delta,-0.37054747409832289,,20
DCTN2+ctrl,systema_pearson,-0.144726422949816,,20
DDB1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDB1+ctrl,trishift_pearson_delta,0.05133120775926725,,20
DDB1+ctrl,systema_pearson,-0.8464492181114065,,20
DDX11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX11+ctrl,trishift_pearson_delta,-0.26191772213342168,,20
DDX11+ctrl,systema_pearson,-0.55786188425824512,,20
DDX19B+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX19B+ctrl,trishift_pearson_delta,0.17280258515006872,,20
DDX19B+ctrl,systema_pearson,0.37342613135228736,,20
DDX27+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
DDX27+ctrl,trishift_pearson_delta,-0.74574296641866356,,20
DDX27+ctrl,systema_pearson,-0.70313111479436619,,20
DDX3X+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
