condition_id,metric_id,value,reason,gene_count
BAK1+BCL2L11,txpert_macro_pearson_delta,,constant_vector,5045
BAK1+BCL2L11,trishift_pearson_delta,-0.5139052339097705,,19
BAK1+BCL2L11,systema_pearson,0.65914719539624467,,19
CBL+UBASH3B,txpert_macro_pearson_delta,,constant_vector,5045
CBL+UBASH3B,trishift_pearson_delta,-0.31410679089422755,,20
CBL+UBASH3B,systema_pearson,-0.87922097585473535,,20
CEBPA+CEBPE,txpert_macro_pearson_delta,,constant_vector,5045
CEBPA+CEBPE,trishift_pearson_delta,-0.070735200995497599,,19
CEBPA+CEBPE,systema_pearson,-0.5471554551259602,,19
CEBPB+CEBPE,txpert_macro_pearson_delta,,constant_vector,5045
CEBPB+CEBPE,trishift_pearson_delta,-0.41013451987221378,,19
CEBPB+CEBPE,systema_pearson,-0.46412337634791723,,19
CEBPE+SET,txpert_macro_pearson_delta,,constant_vector,5045
CEBPE+SET,trishift_pearson_delta,-0.24185195182701089,,18
CEBPE+SET,systema_pearson,0.080794848854401885,,18
CEBPE+ZC3HAV1,txpert_macro_pearson_delta,,constant_vector,5045
CEBPE+ZC3HAV1,trishift_pearson_delta,-0.31582871017815384,,18
CEBPE+ZC3HAV1,systema_pearson,0.44065427994978434,,18
CNN1+UBASH3A,txpert_macro_pearson_delta,,constant_vector,5045
CNN1+UBASH3A,trishift_pearson_delta,-0.19231000624094152,,19
CNN1+UBASH3A,systema_pearson,-0.88012733791427578,,19
COL2A1+KLF1,txpert_macro_pearson_delta,,constant_vector,5045
COL2A1+KLF1,trishift_pearson_delta,0.14018781864918767,,18
COL2A1+KLF1,systema_pearson,-0.12538438423563375,,18
ETS2+PRTG,txpert_macro_pearson_delta,,constant_vector,5045
ETS2+PRTG,trishift_pearson_delta,0.035035545717278134,,18
ETS2+PRTG,systema_pearson,-0.71397647033832179,,18
KIF18B+KIF2C,txpert_macro_pearson_delta,,constant_vector,5045
KIF18B+KIF2C,trishift_pearson_delta,0.41741060317299844,,18
KIF18B+KIF2C,systema_pearson,0.091312921899082466,,18
PRTG+TGFBR2,txpert_macro_pearson_delta,,constant_vector,5045
PRTG+TGFBR2,trishift_pearson_delta,-0.10944222878280557,,19
PRTG+TGFBR2,systema_pearson,-0.90315334361079258,,19
S1PR2+SGK1,txpert_macro_pearson_delta,,constant_vector,5045
S1PR2+SGK1,trishift_pearson_delta,-0.45081677386678914,,20
S1PR2+SGK1,systema_pearson,-0.83080127407293558,,20
UBASH3A+UBASH3B,txpert_macro_pearson_delta,,constant_vector,5045
UBASH3A+UBASH3B,trishift_pearson_delta,0.21121260310806889,,19
UBASH3A+UBASH3B,systema_pearson,-0.62449334582937921,,19
