condition_id,metric_id,value,reason,gene_count
ABCE1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ABCE1+ctrl,trishift_pearson_delta,0.2425205544288645,,19
ABCE1+ctrl,systema_pearson,-0.82278179851689415,,19
ABCF1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ABCF1+ctrl,trishift_pearson_delta,0.07466882616880248,,20
ABCF1+ctrl,systema_pearson,-0.82043763395547575,,20
AKIRIN2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AKIRIN2+ctrl,trishift_pearson_delta,-0.46877263307015615,,20
AKIRIN2+ctrl,systema_pearson,-0.15607200979283489,,20
ANAPC2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANAPC2+ctrl,trishift_pearson_delta,-0.57098747625868074,,20
ANAPC2+ctrl,systema_pearson,0.037708935912462001,,20
ATP6AP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATP6AP1+ctrl,trishift_pearson_delta,-0.68117544290187648,,20
ATP6AP1+ctrl,systema_pearson,0.014658229737120382,,20
ATP6V0C+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATP6V0C+ctrl,trishift_pearson_delta,0.76186569701633644,,19
ATP6V0C+ctrl,systema_pearson,-0.041943425423563205,,19
ATR+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATR+ctrl,trishift_pearson_delta,-0.074924508595953954,,20
ATR+ctrl,systema_pearson,0.16423080793550215,,20
BANP+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BANP+ctrl,trishift_pearson_delta,0.17185356381098565,,20
BANP+ctrl,systema_pearson,-0.51794528312555976,,20
BCAS2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BCAS2+ctrl,trishift_pearson_delta,0.10620026204015824,,20
BCAS2+ctrl,systema_pearson,-0.3979135488474152,,20
BDP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BDP1+ctrl,trishift_pearson_delta,-0.19652145659734782,,20
BDP1+ctrl,systema_pearson,-0.83464563098595468,,20
BTF3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BTF3+ctrl,trishift_pearson_delta,-0.16422529398175406,,20
BTF3+ctrl,systema_pearson,0.54757180892649016,,20
BUD31+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUD31+ctrl,trishift_pearson_delta,0.11159380290420741,,20
BUD31+ctrl,systema_pearson,0.91567463695883455,,20
CCDC59+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCDC59+ctrl,trishift_pearson_delta,0.39025041614586597,,20
CCDC59+ctrl,systema_pearson,0.26788954572063112,,20
CCDC86+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCDC86+ctrl,trishift_pearson_delta,-0.41819981580859056,,20
CCDC86+ctrl,systema_pearson,-0.75366285387319742,,20
CCT4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCT4+ctrl,trishift_pearson_delta,-0.40491294782909293,,20
CCT4+ctrl,systema_pearson,-0.3109748012944904,,20
CDAN1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CDAN1+ctrl,trishift_pearson_delta,-0.073003241455750947,,20
CDAN1+ctrl,systema_pearson,-0.032347164653589618,,20
CDC16+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CDC16+ctrl,trishift_pearson_delta,0.020956233499851557,,20
