condition_id,metric_id,value,reason,gene_count
AARS+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AARS+ctrl,trishift_pearson_delta,0.51236050429408186,,20
AARS+ctrl,systema_pearson,-0.95954395548195004,,20
AASDHPPT+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AASDHPPT+ctrl,trishift_pearson_delta,-0.24495274795167707,,20
AASDHPPT+ctrl,systema_pearson,-0.13661950931384095,,20
ABHD17A+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ABHD17A+ctrl,trishift_pearson_delta,-0.018653852451540255,,20
ABHD17A+ctrl,systema_pearson,0.26316449746505721,,20
ACTR10+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ACTR10+ctrl,trishift_pearson_delta,0.76070614100110301,,20
ACTR10+ctrl,systema_pearson,-0.86885258128734399,,20
ADAT3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ADAT3+ctrl,trishift_pearson_delta,0.18913995517436855,,20
ADAT3+ctrl,systema_pearson,0.42094482136929934,,20
AGBL5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AGBL5+ctrl,trishift_pearson_delta,-0.38557549464499496,,20
AGBL5+ctrl,systema_pearson,-0.83425410143912415,,20
AKIRIN2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AKIRIN2+ctrl,trishift_pearson_delta,-0.65999127961761495,,20
AKIRIN2+ctrl,systema_pearson,-0.59823661595610822,,20
ALDOA+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ALDOA+ctrl,trishift_pearson_delta,0.60440396835984911,,20
ALDOA+ctrl,systema_pearson,-0.6405389979023125,,20
ALG14+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ALG14+ctrl,trishift_pearson_delta,-0.10209529225478275,,20
ALG14+ctrl,systema_pearson,0.64123686342322739,,20
ALYREF+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ALYREF+ctrl,trishift_pearson_delta,-0.086047490951502881,,20
ALYREF+ctrl,systema_pearson,-0.038405039385751689,,20
ANAPC11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANAPC11+ctrl,trishift_pearson_delta,0.43420621060022696,,20
ANAPC11+ctrl,systema_pearson,-0.95795207885157685,,20
ANAPC15+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANAPC15+ctrl,trishift_pearson_delta,-0.33877924842341778,,20
ANAPC15+ctrl,systema_pearson,0.26151079712338743,,20
ANAPC4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANAPC4+ctrl,trishift_pearson_delta,-0.1636589563200461,,20
ANAPC4+ctrl,systema_pearson,-0.71358298049230162,,20
ANKLE2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANKLE2+ctrl,trishift_pearson_delta,-0.007014534599652603,,20
ANKLE2+ctrl,systema_pearson,-0.90157611969521823,,20
ANKRD11+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANKRD11+ctrl,trishift_pearson_delta,0.58031332195305119,,19
ANKRD11+ctrl,systema_pearson,-0.21562133194340388,,19
ANKS6+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ANKS6+ctrl,trishift_pearson_delta,0.25939884205640629,,20
ANKS6+ctrl,systema_pearson,0.89732711526375664,,20
AP2A1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AP2A1+ctrl,trishift_pearson_delta,0.021849236232924226,,20
AP2A1+ctrl,systema_pearson,-0.89878328263968321,,20
ARHGAP6+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARHGAP6+ctrl,trishift_pearson_delta,0.27564661204973445,,20
ARHGAP6+ctrl,systema_pearson,-0.49950380896459773,,20
ARL4D+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARL4D+ctrl,trishift_pearson_delta,0.35140408586128113,,20
ARL4D+ctrl,systema_pearson,0.83700030616185295,,20
ARPC1B+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARPC1B+ctrl,trishift_pearson_delta,-0.12224525607047909,,20
ARPC1B+ctrl,systema_pearson,-0.30135494357545839,,20
ARRB2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ARRB2+ctrl,trishift_pearson_delta,-0.60822301865415562,,20
ARRB2+ctrl,systema_pearson,-0.85677283921222225,,20
ATF5+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATF5+ctrl,trishift_pearson_delta,0.83680645274029475,,20
ATF5+ctrl,systema_pearson,-0.91164822578171578,,20
ATL2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATL2+ctrl,trishift_pearson_delta,0.11207409848306572,,20
ATL2+ctrl,systema_pearson,-0.1395506417624828,,20
ATP5PD+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATP5PD+ctrl,trishift_pearson_delta,0.10858772309421823,,20
ATP5PD+ctrl,systema_pearson,0.2519745224858157,,20
ATP6V1C1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATP6V1C1+ctrl,trishift_pearson_delta,-0.60258345150815795,,20
ATP6V1C1+ctrl,systema_pearson,-0.00029247835090616539,,20
ATP6V1G1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
ATP6V1G1+ctrl,trishift_pearson_delta,0.29521101669819177,,20
ATP6V1G1+ctrl,systema_pearson,0.81701753705344726,,20
AURKAIP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
AURKAIP1+ctrl,trishift_pearson_delta,0.32336471057164856,,20
AURKAIP1+ctrl,systema_pearson,-0.32111697643876913,,20
BDP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BDP1+ctrl,trishift_pearson_delta,0.45779903296782198,,20
BDP1+ctrl,systema_pearson,-0.95668647861593159,,20
BOP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BOP1+ctrl,trishift_pearson_delta,0.3175950455390209,,20
BOP1+ctrl,systema_pearson,0.020776740667034641,,20
BRCA2+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BRCA2+ctrl,trishift_pearson_delta,-0.12352135166910917,,20
BRCA2+ctrl,systema_pearson,-0.76615842592034833,,20
BRF1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BRF1+ctrl,trishift_pearson_delta,-0.19200029694931769,,20
BRF1+ctrl,systema_pearson,-0.86761193316114893,,20
BRIP1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BRIP1+ctrl,trishift_pearson_delta,-0.062839754413203927,,20
BRIP1+ctrl,systema_pearson,0.33871672751889692,,20
BTF3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BTF3+ctrl,trishift_pearson_delta,0.65997166323471812,,20
BTF3+ctrl,systema_pearson,-0.90802350340072191,,20
BTF3L4+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BTF3L4+ctrl,trishift_pearson_delta,0.061157789837636367,,20
BTF3L4+ctrl,systema_pearson,0.96924946287527647,,20
BUB1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUB1+ctrl,trishift_pearson_delta,0.39077138734265443,,20
BUB1+ctrl,systema_pearson,-0.25725208140635786,,20
BUB1B+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUB1B+ctrl,trishift_pearson_delta,0.36022452160648671,,20
BUB1B+ctrl,systema_pearson,-0.8361429212848176,,20
BUB3+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUB3+ctrl,trishift_pearson_delta,-0.10101463124638847,,19
BUB3+ctrl,systema_pearson,-0.55127961781274526,,19
BUD13+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BUD13+ctrl,trishift_pearson_delta,0.77993056587953946,,20
BUD13+ctrl,systema_pearson,-0.81111529157125484,,20
BYSL+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
BYSL+ctrl,trishift_pearson_delta,0.37759425954724679,,20
BYSL+ctrl,systema_pearson,-0.46804660029279105,,20
C6orf15+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
C6orf15+ctrl,trishift_pearson_delta,-0.2444118832953997,,20
C6orf15+ctrl,systema_pearson,0.98696859185760677,,20
C7orf26+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
C7orf26+ctrl,trishift_pearson_delta,0.39809900950508359,,20
C7orf26+ctrl,systema_pearson,-0.045407584081173125,,20
CABIN1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CABIN1+ctrl,trishift_pearson_delta,-0.26707487127096663,,20
CABIN1+ctrl,systema_pearson,0.79022161311067163,,20
CACTIN+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CACTIN+ctrl,trishift_pearson_delta,-0.072473298833748936,,20
CACTIN+ctrl,systema_pearson,-0.94097320916590077,,20
CAMLG+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CAMLG+ctrl,trishift_pearson_delta,0.10288555843043418,,20
CAMLG+ctrl,systema_pearson,-0.40234667381429989,,20
CBX1+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CBX1+ctrl,trishift_pearson_delta,0.1935752238911862,,20
CBX1+ctrl,systema_pearson,0.27705255716738975,,20
CCDC115+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCDC115+ctrl,trishift_pearson_delta,-0.092252190162028611,,20
CCDC115+ctrl,systema_pearson,-0.49987299496250992,,20
CCDC144NL+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCDC144NL+ctrl,trishift_pearson_delta,0.71291334264990047,,20
CCDC144NL+ctrl,systema_pearson,0.88223433558651509,,20
CCNQ+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCNQ+ctrl,trishift_pearson_delta,0.20135266630040022,,20
CCNQ+ctrl,systema_pearson,-0.22572290957521651,,20
CCP110+ctrl,txpert_macro_pearson_delta,,constant_vector,5000
CCP110+ctrl,trishift_pearson_delta,0.5849466223319757,,20
CCP110+ctrl,systema_pearson,-0.24275154625936068,,20
